fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender,orientation
Michl EBNER,2075,Italy,European People's Party,None,Uniti nell'Ulivo-Südtiroler Volkspartei ,2004-2009,07-2004,male,centre-right
Carlo FATUZZO,4413,Italy,European People's Party,None,Partito Pensionati ,2004-2009,07-2004,male,centre-right
Claudio FAVA,4469,Italy,Socialist Group,None,Democratici di Sinistra ,2004-2009,07-2004,male,centre-left
Francesco FERRARI,38849,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,Uniti nell'Ulivo ,2004-2009,07-2007,male,centre
Alessandro FOGLIETTA,28425,Italy,Union for Europe of the Nations Group,None,Alleanza nazionale ,2004-2009,07-2004,male,right
Monica FRASSONI,4254,Italy,Group of the Greens/European Free Alliance,None,Federazione dei Verdi ,2004-2009,07-2004,female,centre-left
Giuseppe GARGANI,4562,Italy,European People's Party,None,Forza Italia ,2004-2009,07-2004,male,centre-right
Jas GAWRONSKI,1113,Italy,European People's Party,None,Forza Italia ,2004-2009,07-2004,male,centre-right
Lilli GRUBER,28368,Italy,Socialist Group,None,Indipendente ,2004-2009,07-2004,female,centre-left
Umberto GUIDONI,28974,Italy,Confederal Group of the European United Left,None,Partito dei Comunisti Italiani ,2004-2009,07-2004,male,left
Sepp KUSSTATSCHER,28418,Italy,Group of the Greens/European Free Alliance,None,Federazione dei Verdi ,2004-2009,07-2004,male,centre-left
Romano Maria LA RUSSA,28416,Italy,Union for Europe of the Nations Group,None,Alleanza nazionale ,2004-2009,07-2004,male,right
Enrico LETTA,28413,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,Uniti nell'Ulivo ,2004-2009,07-2004,male,centre
Pia Elda LOCATELLI,28976,Italy,Socialist Group,None,Uniti nell'Ulivo ,2004-2009,07-2004,female,centre-left
Eleonora LO CURTO,93515,Italy,European People's Party,None,Forza Italia ,2004-2009,07-2008,female,centre-right
Raffaele LOMBARDO,4472,Italy,European People's Party,None,Unione dei Democratici cristiani e dei Democratici di Centro ,2004-2009,07-2004,male,centre-right
Mario MANTOVANI,4395,Italy,European People's Party,None,Forza Italia ,2004-2009,07-2004,male,centre-right
Mario MAURO,4393,Italy,European People's Party,None,Forza Italia ,2004-2009,07-2004,male,centre-right
Luisa MORGANTINI,4453,Italy,Confederal Group of the European United Left,None,Partito della Rifondazione Comunista - Sinistra Europea ,2004-2009,07-2004,female,left
Roberto MUSACCHIO,28977,Italy,Confederal Group of the European United Left,None,Partito della Rifondazione Comunista - Sinistra Europea ,2004-2009,07-2004,male,left
Cristiana MUSCARDINI,1073,Italy,Union for Europe of the Nations Group,None,Alleanza nazionale ,2004-2009,07-2004,female,right
Francesco MUSOTTO,4471,Italy,European People's Party,None,Forza Italia ,2004-2009,07-2004,male,centre-right
Alessandra MUSSOLINI,28429,Italy,Non-attached Members,"Identity, Tradition and Sovereignty Group ",Alternativa sociale,2004-2009,07-2004,female,Non aligned
Sebastiano (Nello) MUSUMECI,1944,Italy,Union for Europe of the Nations Group,None,Alleanza nazionale ,2004-2009,07-2004,male,right
Pasqualina NAPOLETANO,1065,Italy,Socialist Group,None,Democratici di Sinistra ,2004-2009,07-2004,female,centre-left
Marco PANNELLA,1002,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,Lista Emma Bonino ,2004-2009,07-2004,male,centre
Pier Antonio PANZERI,28365,Italy,Socialist Group,None,Uniti nell'Ulivo ,2004-2009,07-2004,male,centre-left
Umberto PIRILLI,29073,Italy,Union for Europe of the Nations Group,None,Alleanza nazionale ,2004-2009,07-2004,male,right
Lapo PISTELLI,28420,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,La Margherita ,2004-2009,07-2004,male,centre
Gianni PITTELLA,4436,Italy,Socialist Group,None,Uniti nell'Ulivo ,2004-2009,07-2004,male,centre-left
Guido PODESTÀ,2046,Italy,European People's Party,None,Forza Italia ,2004-2009,07-2004,male,centre-right
Adriana POLI BORTONE,4467,Italy,Union for Europe of the Nations Group,None,Alleanza nazionale ,2004-2009,07-2004,female,right
Vittorio PRODI,28370,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,Uniti nell'Ulivo ,2004-2009,07-2004,male,centre
Marco RIZZO,28410,Italy,Confederal Group of the European United Left,None,Partito dei Comunisti Italiani ,2004-2009,07-2004,male,left
Luca ROMAGNOLI,28457,Italy,Non-attached Members,"Identity, Tradition and Sovereignty Group ",Movimento Sociale Fiamma tricolore ,2004-2009,07-2004,male,Non aligned
Guido SACCONI,4425,Italy,Socialist Group,None,Uniti nell'Ulivo ,2004-2009,07-2004,male,centre-left
Matteo SALVINI,28404,Italy,Independence/Democracy Group,Non-attached Members,Lega Nord per l'indipendenza della Padania ,2004-2009,07-2004,male,right
Michele SANTORO,28333,Italy,Socialist Group,None,Indipendente ,2004-2009,07-2004,female,centre-left
Amalia SARTORI,4423,Italy,European People's Party,None,Forza Italia ,2004-2009,07-2004,female,centre-right
Luciana SBARBATI,4428,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,Uniti nell'Ulivo ,2004-2009,07-2004,female,centre
Francesco Enrico SPERONI,997,Italy,Independence/Democracy Group,Non-attached Members,Lega Nord per l'indipendenza della Padania ,2004-2009,07-2004,male,right
Antonio TAJANI,2187,Italy,European People's Party,None,Forza Italia ,2004-2009,07-2004,male,centre-right
Salvatore TATARELLA,1945,Italy,Union for Europe of the Nations Group,None,Alleanza nazionale ,2004-2009,07-2004,male,right
Patrizia TOIA,28340,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,La Margherita ,2004-2009,07-2004,female,centre
Riccardo VENTRE,28437,Italy,European People's Party,None,Forza Italia ,2004-2009,07-2004,male,centre-right
Marcello VERNOLA,28439,Italy,European People's Party,None,Forza Italia ,2004-2009,07-2004,male,centre-right
Marta VINCENZI,28335,Italy,Socialist Group,None,Democratici di Sinistra ,2004-2009,07-2004,female,centre-left
Mauro ZANI,28414,Italy,Socialist Group,None,Uniti nell'Ulivo ,2004-2009,07-2004,male,centre-left
Stefano ZAPPALA',4433,Italy,European People's Party,None,Forza Italia ,2004-2009,07-2004,male,centre-right
Nicola ZINGARETTI,28419,Italy,Socialist Group,None,Democratici di Sinistra ,2004-2009,07-2004,male,centre-left
Gabriele ALBERTINI,28367,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,male,centre-right
Sonia ALFANO,97086,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,Italia dei Valori - Lista Di Pietro ,2009-2014,07-2009,female,centre
Magdi Cristiano ALLAM,96992,Italy,European People's Party,Europe of freedom and democracy Group ,Unione dei Democratici cristiani e dei Democratici di Centro ,2009-2014,07-2009,female,centre-right
Roberta ANGELILLI,1941,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,female,centre-right
Antonello ANTINORO,97193,Italy,European People's Party,None,Unione dei Democratici cristiani e dei Democratici di Centro ,2009-2014,07-2009,male,centre-right
Alfredo ANTONIOZZI,28422,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,male,centre-right
Pino ARLACCHI,97228,Italy,Group of the Alliance of Liberals and Democrats for Europe,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,Italia dei Valori - Lista Di Pietro ,2009-2014,07-2009,male,centre
Raffaele BALDASSARRE,96757,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,male,centre-right
Francesca BALZANI,96979,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,female,centre-left
Paolo BARTOLOZZI,21818,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,male,centre-right
Luigi BERLINGUER,97156,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,male,centre-left
Mara BIZZOTTO,97198,Italy,Europe of freedom and democracy Group,None,Lega Nord ,2009-2014,07-2009,female,right
Vito BONSIGNORE,29074,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,male,centre-right
Mario BORGHEZIO,21817,Italy,Europe of freedom and democracy Group,Non-attached Members,Lega Nord ,2009-2014,07-2009,male,right
Rita BORSELLINO,96916,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,female,centre-left
Antonio CANCIAN,96733,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,male,centre-right
Salvatore CARONNA,96866,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,male,centre-left
Carlo CASINI,988,Italy,European People's Party,None,Unione dei Democratici cristiani e dei Democratici di Centro ,2009-2014,07-2009,male,centre-right
Sergio Gaetano COFFERATI,96915,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,male,centre-left
Giovanni COLLINO,97195,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,male,centre-right
Silvia COSTA,96917,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,female,centre-left
Rosario CROCETTA,96886,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,male,centre-left
Francesco DE ANGELIS,96887,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,male,centre-left
Luigi de MAGISTRIS,97129,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,Italia dei Valori - Lista Di Pietro ,2009-2014,07-2009,male,centre
Luigi Ciriaco DE MITA,1746,Italy,European People's Party,None,Unione dei Democratici cristiani e dei Democratici di Centro ,2009-2014,07-2009,male,centre-right
Leonardo DOMENICI,96888,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,male,centre-left
Lorenzo FONTANA,96993,Italy,Europe of freedom and democracy Group,None,Lega Nord ,2009-2014,07-2009,male,right
Elisabetta GARDINI,58758,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,female,centre-right
Roberto GUALTIERI,96892,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,male,centre-left
Salvatore IACOLINO,96818,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,male,centre-right
Vincenzo IOVINE,97130,Italy,Group of the Alliance of Liberals and Democrats for Europe,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,Italia dei Valori - Lista Di Pietro ,2009-2014,07-2009,male,centre
Giovanni LA VIA,96816,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,male,centre-right
Clemente MASTELLA,4462,Italy,European People's Party,None,Unione Democratici per l'Europa ,2009-2014,07-2009,male,centre-right
Barbara MATERA,96813,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,female,centre-right
Mario MAURO,4393,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,male,centre-right
Erminia MAZZONI,96817,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,female,centre-right
Guido MILANA,97020,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,male,centre-left
Claudio MORGANTI,97280,Italy,Europe of freedom and democracy Group,None,Lega Nord ,2009-2014,07-2009,male,right
Tiziano MOTTI,96760,Italy,European People's Party,None,Unione dei Democratici cristiani e dei Democratici di Centro ,2009-2014,07-2009,male,centre-right
Cristiana MUSCARDINI,1073,Italy,European People's Party,European Conservatives and Reformists Group ,Il Popolo della Libertà ,2009-2014,07-2009,female,centre-right
Alfredo PALLONE,97197,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,male,centre-right
Pier Antonio PANZERI,28365,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,male,centre-left
Mario PIRILLO,96890,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,male,centre-left
Gianni PITTELLA,4436,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,male,centre-left
Vittorio PRODI,28370,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,male,centre-left
Fiorello PROVERA,96994,Italy,Europe of freedom and democracy Group,None,Lega Nord ,2009-2014,07-2009,male,right
Niccolò RINALDI,97229,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,Italia dei Valori - Lista Di Pietro ,2009-2014,07-2009,male,centre
Crescenzio RIVELLINI,97199,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,male,centre-right
Licia RONZULLI,96819,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,female,centre-right
Oreste ROSSI,97196,Italy,Europe of freedom and democracy Group,Non-attached Members,Lega Nord ,2009-2014,07-2009,male,right
Potito SALATTO,96889,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,male,centre-right
Matteo SALVINI,28404,Italy,Europe of freedom and democracy Group,None,Lega Nord ,2009-2014,07-2009,male,right
Amalia SARTORI,4423,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,female,centre-right
David Maria SASSOLI,96864,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,male,centre-left
Giancarlo SCOTTÀ,96996,Italy,Europe of freedom and democracy Group,None,Lega Nord ,2009-2014,07-2009,male,right
Marco SCURRIA,96843,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,male,centre-right
Debora SERRACCHIANI,96865,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,female,centre-left
Sergio Paolo Francesco SILVESTRIS,96755,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,male,centre-right
Francesco Enrico SPERONI,997,Italy,Europe of freedom and democracy Group,None,Lega Nord ,2009-2014,07-2009,male,right
Gianluca SUSTA,36396,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2009-2014,07-2009,male,centre-left
Salvatore TATARELLA,1945,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,male,centre-right
Giommaria UGGIAS,97131,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,Italia dei Valori - Lista Di Pietro ,2009-2014,07-2009,male,centre
Gianni VATTIMO,4398,Italy,Group of the Alliance of Liberals and Democrats for Europe,None,Italia dei Valori - Lista Di Pietro ,2009-2014,07-2009,male,centre
Iva ZANICCHI,41007,Italy,European People's Party,None,Il Popolo della Libertà ,2009-2014,07-2009,female,centre-right
Andrea ZANONI,108329,Italy,Group of the Alliance of Liberals and Democrats for Europe,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,Italia dei Valori - Lista Di Pietro ,2009-2014,07-2011,female,centre
Isabella ADINOLFI,124831,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,female,right
Marco AFFRONTE,124797,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,male,right
Laura AGEA,124811,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,female,right
Daniela AIUTO,124842,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,female,right
Tiziana BEGHIN,124777,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,female,right
Brando BENIFEI,124867,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,male,centre-left
Goffredo Maria BETTINI,124819,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,male,centre-left
Mara BIZZOTTO,97198,Italy,Non-attached Members,Europe of Nations and Freedom Group ,Lega Nord ,2014-2019,07-2014,female,Non aligned
Simona BONAFÈ,124814,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,female,centre-left
Mario BORGHEZIO,21817,Italy,Non-attached Members,Europe of Nations and Freedom Group ,Lega Nord ,2014-2019,07-2014,male,Non aligned
David BORRELLI,124796,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,male,right
Mercedes BRESSO,28346,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,female,centre-left
Renata BRIANO,124787,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,female,centre-left
Gianluca BUONANNO,124869,Italy,Non-attached Members,Europe of Nations and Freedom Group ,Lega Nord ,2014-2019,07-2014,male,Non aligned
Nicola CAPUTO,124851,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,male,centre-left
Fabio Massimo CASTALDO,124812,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,male,right
Lorenzo CESA,28451,Italy,European People's Party,None,Unione di Centro ,2014-2019,07-2014,male,centre-right
Caterina CHINNICI,124861,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,female,centre-left
Salvatore CICU,124854,Italy,European People's Party,None,Forza Italia ,2014-2019,07-2014,male,centre-right
Angelo CIOCCA,183793,Italy,Europe of Nations and Freedom Group,None,Lega Nord ,2014-2019,07-2016,male,right
Alberto CIRIO,124772,Italy,European People's Party,None,Forza Italia ,2014-2019,07-2014,male,centre-right
Sergio Gaetano COFFERATI,96915,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,male,centre-left
Lara COMI,96775,Italy,European People's Party,None,Forza Italia ,2014-2019,07-2014,female,centre-right
Ignazio CORRAO,124856,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,male,right
Silvia COSTA,96917,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,female,centre-left
Andrea COZZOLINO,96880,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,female,centre-left
Rosa D'AMATO,124835,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,female,right
Nicola DANTI,124821,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,male,centre-left
Paolo DE CASTRO,96891,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,male,centre-left
Isabella DE MONTE,124803,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,female,centre-left
Herbert DORFMANN,96787,Italy,European People's Party,None,Südtiroler Volkspartei ,2014-2019,07-2014,male,centre-right
Eleonora EVI,124779,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,female,right
Laura FERRARA,124833,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,female,right
Raffaele FITTO,4465,Italy,European People's Party,European Conservatives and Reformists Group ,Forza Italia ,2014-2019,07-2014,male,centre-right
Lorenzo FONTANA,96993,Italy,Non-attached Members,Europe of Nations and Freedom Group ,Lega Nord ,2014-2019,07-2014,male,Non aligned
Eleonora FORENZA,125193,Italy,Confederal Group of the European United Left,None,Lista Tsipras-L'Altra Europa ,2014-2019,07-2014,female,left
Elisabetta GARDINI,58758,Italy,European People's Party,European Conservatives and Reformists Group ,Forza Italia ,2014-2019,07-2014,female,centre-right
Enrico GASBARRA,124817,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,male,centre-left
Elena GENTILE,124847,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,female,centre-left
Michela GIUFFRIDA,124864,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,female,centre-left
Roberto GUALTIERI,96892,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,male,centre-left
Cécile Kashetu KYENGE,124801,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,female,centre-left
Giovanni LA VIA,96816,Italy,European People's Party,None,Unione di Centro ,2014-2019,07-2014,male,centre-right
Curzio MALTESE,125192,Italy,Confederal Group of the European United Left,None,Lista Tsipras-L'Altra Europa ,2014-2019,07-2014,male,left
Fulvio MARTUSCIELLO,124828,Italy,European People's Party,None,Forza Italia ,2014-2019,07-2014,male,centre-right
Barbara MATERA,96813,Italy,European People's Party,None,Forza Italia ,2014-2019,07-2014,female,centre-right
Stefano MAULLU,133326,Italy,European People's Party,European Conservatives and Reformists Group ,Forza Italia ,2014-2019,07-2015,male,centre-right
Giovanni MICCICHÈ,193706,Italy,European People's Party,None,Forza Italia ,2014-2019,07-2018,male,centre-right
Giulia MOI,124859,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,female,right
Alessandra MORETTI,124799,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,female,centre-left
Luigi MORGANO,124788,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,male,centre-left
Alessia Maria MOSCA,124868,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,female,centre-left
Alessandra MUSSOLINI,28429,Italy,European People's Party,Non-attached Members,Forza Italia ,2014-2019,07-2014,female,centre-right
Pier Antonio PANZERI,28365,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,male,centre-left
Massimo PAOLUCCI,124849,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,male,centre-left
Aldo PATRICIELLO,36392,Italy,European People's Party,None,Forza Italia ,2014-2019,07-2014,male,centre-right
Piernicola PEDICINI,124844,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,male,right
Pina PICIERNO,124846,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,female,centre-left
Gianni PITTELLA,4436,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,male,centre-left
Salvatore Domenico POGLIESE,124853,Italy,European People's Party,None,Forza Italia ,2014-2019,07-2014,male,centre-right
Massimiliano SALINI,125670,Italy,European People's Party,None,Unione di Centro ,2014-2019,07-2014,male,centre-right
Matteo SALVINI,28404,Italy,Non-attached Members,Europe of Nations and Freedom Group ,Lega Nord ,2014-2019,07-2014,male,Non aligned
David Maria SASSOLI,96864,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,male,centre-left
Elly SCHLEIN,124804,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,female,centre-left
Remo SERNAGIOTTO,124794,Italy,European People's Party,European Conservatives and Reformists Group ,Forza Italia ,2014-2019,07-2014,male,centre-right
Renato SORU,124860,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Non-attached Members,Partito Democratico ,2014-2019,07-2014,male,centre-left
Barbara SPINELLI,124810,Italy,Confederal Group of the European United Left,None,Lista Tsipras-L'Altra Europa ,2014-2019,07-2014,female,left
Antonio TAJANI,2187,Italy,European People's Party,None,Forza Italia ,2014-2019,07-2014,male,centre-right
Dario TAMBURRANO,124813,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,male,right
Patrizia TOIA,28340,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,female,centre-left
Flavio TOSI,124795,Italy,Non-attached Members,None,Lega Nord ,2014-2019,07-2014,male,Non aligned
Giovanni TOTI,124764,Italy,European People's Party,None,Forza Italia ,2014-2019,07-2014,male,centre-right
Marco VALLI,124778,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,male,right
Daniele VIOTTI,124791,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,male,centre-left
Marco ZANNI,124780,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,male,right
Flavio ZANONATO,124800,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico ,2014-2019,07-2014,male,centre-left
Marco ZULLO,125237,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,male,right
Isabella ADINOLFI,124831,Italy,European People's Party,None,Forza Italia,2019-2024,07-2019,female,centre-right
Matteo ADINOLFI,197826,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,male,right
Simona BALDASSARRE,197789,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,female,right
Pietro BARTOLO,197808,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2019-2024,07-2019,male,centre-left
Alessandra BASSO,197610,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,female,right
Tiziana BEGHIN,124777,Italy,Non-attached Members,None,Movimento 5 Stelle,2019-2024,07-2019,female,Non aligned
Brando BENIFEI,124867,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2019-2024,07-2019,male,centre-left
Sergio BERLATO,4746,Italy,European Conservatives and Reformists Group,None,Fratelli d'Italia,2019-2024,07-2019,male,right
Anna BONFRISCO,197788,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,female,right
Paolo BORCHIA,101039,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,male,right
Marco CAMPOMENOSI,35016,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,male,right
Massimo CASANOVA,197796,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,male,right
Fabio Massimo CASTALDO,124812,Italy,Non-attached Members,None,Movimento 5 Stelle,2019-2024,07-2019,male,Non aligned
Susanna CECCARDI,197786,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,female,right
Caterina CHINNICI,124861,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2019-2024,07-2019,female,centre-left
Angelo CIOCCA,183793,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,male,right
Lara COMI,96775,Italy,European People's Party,None,Forza Italia,2019-2024,07-2019,female,centre-right
Rosanna CONTE,197616,Italy,Identity and Democracy Group,None,Lega,2019-2024,07-2019,female,right
