fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender,orientation
Giovanni BERSANI,1781,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Vincenzo BETTIZA,977,Italy,Liberal and Democratic Group,Liberal and Democratic Reformist Group ,Partito liberale italiano ,1984-1989,07-1984,male,centre
Aldo BONACCINI,1770,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
Emma BONINO,1566,Italy,Non-attached Members,None,Partito radicale ,1984-1989,07-1984,female,Non aligned
Franco BORGO,1012,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Antonino BUTTAFUOCO,1764,Italy,Group of the European Right,None,Movimento sociale italiano - Destra nazionale ,1984-1989,07-1984,male,right
Angelo CAROSSINO,1730,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
Carlo CASINI,988,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Maria Luisa CASSANMAGNAGO CERRETTI,949,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,female,centre-right
Luciana CASTELLINA,947,Italy,Rainbow Group,Communist and Allies Group ,Partito comunista italiano ,1984-1989,07-1984,female,centre
Giovanni CERVETTI,1811,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
Mauro CHIABRANDO,1014,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Vittorino CHIUSANO,1808,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Michelangelo CIANCAGLINI,1753,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Maria Lisa CINCIARI RODANO,1705,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,female,left
Michele COLUMBU,1799,Italy,Rainbow Group,None,Unione Valdostana - Partito sardo d'azione ,1984-1989,07-1984,female,centre
Roberto COSTANZO,1720,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Joachim DALSASS,1087,Italy,European People's Party,None,Südtiroler Volkspartei ,1984-1989,07-1984,male,centre-right
Luigi Ciriaco DE MITA,1746,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Pancrazio DE PASQUALE,1704,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
Mario DI BARTOLOMEI,1698,Italy,Liberal and Democratic Group,Liberal and Democratic Reformist Group ,Partito repubblicano italiano ,1984-1989,07-1984,male,centre
Mario DIDO',1699,Italy,Socialist Group,None,Partito socialista italiano ,1984-1989,07-1984,male,centre-left
Sergio ERCINI,1683,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Guido FANTI,1681,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
Roberto FORMIGONI,1110,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Gerardo GAIBISSO,1009,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Carlo Alberto GALLUZZI,1652,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
Natalino GATTI,1666,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,male,left
Jas GAWRONSKI,1113,Italy,Liberal and Democratic Group,Liberal and Democratic Reformist Group ,Partito repubblicano italiano ,1984-1989,07-1984,male,centre
Giovanni GIAVAZZI,1646,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Vincenzo GIUMMARRA,1647,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Anselmo GUARRACI,1655,Italy,Socialist Group,None,Partito socialista italiano ,1984-1989,07-1984,male,centre-left
Antonio IODICE,969,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Felice IPPOLITO,1629,Italy,Communist and Allies Group,Liberal and Democratic Reformist Group ,Indipendenti di sinistra ,1984-1989,07-1984,male,left
Giosuè LIGIOS,1605,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Salvatore LIMA,991,Italy,European People's Party,None,Democrazia cristiana ,1984-1989,07-1984,male,centre-right
Francesca MARINARO,1597,Italy,Communist and Allies Group,None,Partito comunista italiano ,1984-1989,07-1984,female,left
