fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender,orientation,mandate_length
Mary HONEYBALL,5846,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Labour Party,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Richard HOWITT,2073,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Labour Party,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Danuta Maria HÜBNER,96779,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Ian HUDGHTON,2338,United Kingdom,Group of the Greens/European Free Alliance,None,Scottish National Party,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Filiz HYUSMENOVA,34249,Bulgaria,Group of the Alliance of Liberals and Democrats for Europe,None,Movement for Rights and Freedoms,2009-2014,07-2009,female,centre,2 terms (7-8)
Sophia IN 'T VELD,28266,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,None,Democraten 66,2009-2014,07-2009,female,centre,2 terms (7-8)
Iliana IOTOVA,38605,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Coalition for Bulgaria,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Cătălin Sorin IVAN,96857,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partidul Social Democrat,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Liisa JAAKONSAARI,96684,Finland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Anneli JÄÄTTEENMÄKI,28314,Finland,Group of the Alliance of Liberals and Democrats for Europe,None,Suomen Keskusta,2009-2014,07-2009,female,centre,2 terms (7-8)
Yannick JADOT,96740,France,Group of the Greens/European Free Alliance,None,Europe Écologie,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Peter JAHR,96772,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Ramón JÁUREGUI ATONDO,97078,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista Obrero Español,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Danuta JAZŁOWIECKA,96781,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,female,centre-right,2 terms (7-8)
