fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender,orientation,mandate_length
Kinga GÁL,28150,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Iratxe GARCÍA PÉREZ,28298,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista Obrero Español,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Eider GARDIAZABAL RUBIAL,96991,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista Obrero Español,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Jens GEIER,96833,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Charles GOERENS,840,Luxembourg,Group of the Alliance of Liberals and Democrats for Europe,None,Parti démocratique,2014-2019,07-2014,male,centre,2 terms (8-9)
Sylvie GUILLAUME,96952,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Parti socialiste,2014-2019,07-2014,female,centre-left,2 terms (8-9)
András GYÜRK,23816,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Martin HÄUSLING,96752,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Heidi HAUTALA,2054,Finland,Group of the Greens/European Free Alliance,None,Vihreä liitto,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Monika HOHLMEIER,96780,Germany,European People's Party,None,Christlich-Soziale Union in Bayern e.V.,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Danuta Maria HÜBNER,96779,Poland,European People's Party,None,Platforma Obywatelska,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Sophia IN 'T VELD,28266,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,None,Democraten 66,2014-2019,07-2014,female,centre,2 terms (8-9)
Yannick JADOT,96740,France,Group of the Greens/European Free Alliance,None,Europe Écologie,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Peter JAHR,96772,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Jarosław KALINOWSKI,96771,Poland,European People's Party,None,Polskie Stronnictwo Ludowe,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Sandra KALNIETE,96934,Latvia,European People's Party,None,"Partija ""VIENOTĪBA""",2014-2019,07-2014,female,centre-right,2 terms (8-9)
Petra KAMMEREVERT,96837,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Othmar KARAS,4246,Austria,European People's Party,None,Österreichische Volkspartei,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Ska KELLER,96734,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Seán KELLY,96668,Ireland,European People's Party,None,Fine Gael Party,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Ádám KÓSA,96829,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Philippe LAMBERTS,96648,Belgium,Group of the Greens/European Free Alliance,None,Ecologistes Confédérés pour l'Organisation de Luttes Originales,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Bernd LANGE,1909,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Esther de LANGE,38398,Netherlands,European People's Party,None,Christen Democratisch Appèl,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Ryszard Antoni LEGUTKO,96796,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2014-2019,07-2014,male,right,2 terms (8-9)
Janusz LEWANDOWSKI,23781,Poland,European People's Party,None,Platforma Obywatelska,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Bogusław LIBERADZKI,23768,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sojusz Lewicy Demokratycznej,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Peter LIESE,1927,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Juan Fernando LÓPEZ AGUILAR,96812,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Non-attached Members,Partido Socialista Obrero Español,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Antonio LÓPEZ-ISTÚRIZ WHITE,28399,Spain,European People's Party,None,Partido Popular,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Elżbieta Katarzyna ŁUKACIJEWSKA,96791,Poland,European People's Party,None,Platforma Obywatelska,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Marisa MATIAS,96820,Portugal,Confederal Group of the European United Left,None,Bloco de Esquerda,2014-2019,07-2014,female,left,2 terms (8-9)
Gabriel MATO,96936,Spain,European People's Party,None,Partido Popular,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Nuno MELO,96978,Portugal,European People's Party,None,Partido Popular,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Francisco José MILLÁN MON,28400,Spain,European People's Party,None,Partido Popular,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Angelika NIEBLER,4289,Germany,European People's Party,None,Christlich-Soziale Union in Bayern e.V.,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Jan OLBRYCHT,28288,Poland,European People's Party,None,Platforma Obywatelska,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Aldo PATRICIELLO,36392,Italy,European People's Party,None,Forza Italia,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Markus PIEPER,28224,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Sirpa PIETIKÄINEN,40599,Finland,European People's Party,None,Kansallinen Kokoomus,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Tomasz Piotr PORĘBA,96801,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2014-2019,07-2014,male,right,2 terms (8-9)
Paulo RANGEL,96903,Portugal,European People's Party,None,Partido Social Democrata,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Evelyn REGNER,96998,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Österreichs,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Frédérique RIES,4253,Belgium,Group of the Alliance of Liberals and Democrats for Europe,None,Mouvement Réformateur,2014-2019,07-2014,female,centre,2 terms (8-9)
Dominique RIQUET,96885,France,Group of the Alliance of Liberals and Democrats for Europe,None,Parti Radical - UDI,2014-2019,07-2014,male,centre,2 terms (8-9)
Michèle RIVASI,96743,France,Group of the Greens/European Free Alliance,None,Europe Écologie,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Jacek SARYUSZ-WOLSKI,28297,Poland,European People's Party,None,Platforma Obywatelska,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Christel SCHALDEMOSE,37312,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Socialdemokratiet,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Helmut SCHOLZ,96646,Germany,Confederal Group of the European United Left,None,DIE LINKE.,2014-2019,07-2014,male,left,2 terms (8-9)
Andreas SCHWAB,28223,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Birgit SIPPEL,96932,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Marc TARABELLA,29579,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Parti Socialiste,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Róża THUN UND HOHENSTEIN,96776,Poland,European People's Party,None,Platforma Obywatelska,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Patrizia TOIA,28340,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Waldemar TOMASZEWSKI,96697,Lithuania,European Conservatives and Reformists Group,None,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga,2014-2019,07-2014,male,right,2 terms (8-9)
Viktor USPASKICH,96698,Lithuania,Group of the Alliance of Liberals and Democrats for Europe,None,Darbo partija,2014-2019,07-2014,male,centre,2 terms (8-9)
Kathleen VAN BREMPT,5729,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Socialistische Partij.Anders,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Sabine VERHEYEN,96756,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Guy VERHOFSTADT,97058,Belgium,Group of the Alliance of Liberals and Democrats for Europe,None,Open Vlaamse Liberalen en Democraten,2014-2019,07-2014,male,centre,2 terms (8-9)
Axel VOSS,96761,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Manfred WEBER,28229,Germany,European People's Party,None,Christlich-Soziale Union in Bayern e.V.,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Rainer WIELAND,2323,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Iuliu WINKLER,39725,Romania,European People's Party,None,Uniunea Democrată Maghiară din România,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Jan ZAHRADIL,23712,Czechia,European Conservatives and Reformists Group,None,Občanská demokratická strana,2014-2019,07-2014,male,right,2 terms (8-9)
Tatjana ŽDANOKA,28619,Latvia,Group of the Greens/European Free Alliance,None,Latvijas Krievu savienība,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Roberts ZĪLE,28615,Latvia,European Conservatives and Reformists Group,None,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",2014-2019,07-2014,male,right,2 terms (8-9)
Milan ZVER,96933,Slovenia,European People's Party,None,Slovenska demokratska stranka,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Marian-Jean MARINESCU,33982,Romania,European People's Party,None,Partidul Democrat-Liberal,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Evžen TOŠENOVSKÝ,96713,Czechia,European Conservatives and Reformists Group,None,Občanská demokratická strana,2014-2019,07-2014,male,right,2 terms (8-9)
Isabella ADINOLFI,124831,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle,2014-2019,07-2014,female,right,2 terms (8-9)
Clara AGUILERA,125045,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista Obrero Español,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Eric ANDRIEU,113892,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Parti socialiste,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Nikos ANDROULAKIS,125110,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Panhellenic Socialist Movement - Olive Tree,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Gerolf ANNEMANS,124973,Belgium,Non-attached Members,Europe of Nations and Freedom Group ,Vlaams Belang,2014-2019,07-2014,male,Non aligned,2 terms (8-9)
Andrus ANSIP,124696,Estonia,Group of the Alliance of Liberals and Democrats for Europe,None,Eesti Reformierakond,2014-2019,07-2014,male,centre,2 terms (8-9)
Maria ARENA,124936,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Parti Socialiste,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Pascal ARIMONT,24922,Belgium,European People's Party,None,Christlich Soziale Partei,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Petras AUŠTREVIČIUS,124766,Lithuania,Group of the Alliance of Liberals and Democrats for Europe,None,Lietuvos Respublikos liberalų sąjūdis,2014-2019,07-2014,male,centre,2 terms (8-9)
Nicolas BAY,124760,France,Non-attached Members,Europe of Nations and Freedom Group ,Front national,2014-2019,07-2014,male,Non aligned,2 terms (8-9)
Tiziana BEGHIN,124777,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle,2014-2019,07-2014,female,right,2 terms (8-9)
Brando BENIFEI,124867,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Dominique BILDE,124771,France,Non-attached Members,Europe of Nations and Freedom Group ,Front national,2014-2019,07-2014,male,Non aligned,2 terms (8-9)
Malin BJÖRK,124992,Sweden,Confederal Group of the European United Left,None,Vänsterpartiet,2014-2019,07-2014,female,left,2 terms (8-9)
Andrea BOCSKOR,124712,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Franc BOGOVIČ,125004,Slovenia,European People's Party,None,Slovenska ljudska stranka,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Biljana BORZAN,112748,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Socijaldemokratska partija Hrvatske,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Daniel BUDA,125012,Romania,European People's Party,None,Partidul Democrat-Liberal,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Fabio Massimo CASTALDO,124812,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle,2014-2019,07-2014,male,right,2 terms (8-9)
Dita CHARANZOVÁ,124708,Czechia,Group of the Alliance of Liberals and Democrats for Europe,None,ANO 2011,2014-2019,07-2014,female,centre,2 terms (8-9)
Caterina CHINNICI,124861,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Deirdre CLUNE,124988,Ireland,European People's Party,None,Fine Gael Party,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Ignazio CORRAO,124856,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle,2014-2019,07-2014,male,right,2 terms (8-9)
Rosa D'AMATO,124835,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle,2014-2019,07-2014,female,right,2 terms (8-9)
Nicola DANTI,124821,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Andor DELI,124714,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Martina DLABAJOVÁ,124709,Czechia,Group of the Alliance of Liberals and Democrats for Europe,None,ANO 2011,2014-2019,07-2014,female,centre,2 terms (8-9)
Pascal DURAND,124693,France,Group of the Greens/European Free Alliance,None,Europe Écologie,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Angel DZHAMBAZKI,124873,Bulgaria,European Conservatives and Reformists Group,None,VMRO,2014-2019,07-2014,male,right,2 terms (8-9)
Jonás FERNÁNDEZ,125046,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista Obrero Español,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Laura FERRARA,124833,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle,2014-2019,07-2014,female,right,2 terms (8-9)
Luke Ming FLANAGAN,124985,Ireland,Confederal Group of the European United Left,None,Independent,2014-2019,07-2014,male,left,2 terms (8-9)
Anna FOTYGA,28353,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2014-2019,07-2014,female,right,2 terms (8-9)
Jens GIESEKE,124807,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Esteban GONZÁLEZ PONS,125027,Spain,European People's Party,None,Partido Popular,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Marcel de GRAAFF,125025,Netherlands,Non-attached Members,Europe of Nations and Freedom Group ,Partij voor de Vrijheid,2014-2019,07-2014,male,Non aligned,2 terms (8-9)
Maria GRAPINI,124785,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partidul Conservator,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Anja HAZEKAMP,125023,Netherlands,Confederal Group of the European United Left,None,Partij voor de Dieren,2014-2019,07-2014,female,left,2 terms (8-9)
Krzysztof HETMAN,124895,Poland,European People's Party,None,Polskie Stronnictwo Ludowe,2014-2019,07-2014,male,centre-right,2 terms (8-9)
György HÖLVÉNYI,124715,Hungary,European People's Party,None,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Brice HORTEFEUX,5565,France,European People's Party,None,Union pour un Mouvement Populaire,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Jan HUITEMA,58789,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,None,Volkspartij voor Vrijheid en Democratie,2014-2019,07-2014,male,centre,2 terms (8-9)
Jean-François JALKH,124770,France,Non-attached Members,Europe of Nations and Freedom Group ,Front national,2014-2019,07-2014,male,Non aligned,2 terms (8-9)
Agnes JONGERIUS,125021,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partij van de Arbeid,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Eva KAILI,125109,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Panhellenic Socialist Movement - Olive Tree,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Karol KARSKI,124887,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2014-2019,07-2014,male,right,2 terms (8-9)
Manolis KEFALOGIANNIS,125068,Greece,European People's Party,None,Nea Demokratia,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Kateřina KONEČNÁ,23699,Czechia,Confederal Group of the European United Left,None,Komunistická strana Čech a Moravy,2014-2019,07-2014,female,left,2 terms (8-9)
Dietmar KÖSTER,124822,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Andrey KOVATCHEV,97968,Bulgaria,European People's Party,None,Citizens for European Development of Bulgaria,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Zdzisław KRASNODĘBSKI,124891,Poland,European Conservatives and Reformists Group,None,Bezpartyjny,2014-2019,07-2014,male,right,2 terms (8-9)
Miapetra KUMPULA-NATRI,124735,Finland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Zbigniew KUŹMIUK,28389,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2014-2019,07-2014,male,right,2 terms (8-9)
Georgios KYRTSOS,125063,Greece,European People's Party,None,Nea Demokratia,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Ilhan KYUCHYUK,124866,Bulgaria,Group of the Alliance of Liberals and Democrats for Europe,None,Movement for Rights and Freedoms,2014-2019,07-2014,male,centre,2 terms (8-9)
Gilles LEBRETON,124738,France,Non-attached Members,Europe of Nations and Freedom Group ,Front national,2014-2019,07-2014,male,Non aligned,2 terms (8-9)
Jeroen LENAERS,95074,Netherlands,European People's Party,None,Christen Democratisch Appèl,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Norbert LINS,124808,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Javi LÓPEZ,125042,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partit dels Socialistes de Catalunya,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Peter LUNDGREN,124996,Sweden,Europe of Freedom and Direct Democracy Group,Non-attached Members,Sverigedemokraterna,2014-2019,07-2014,male,right,2 terms (8-9)
David McALLISTER,124806,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Fulvio MARTUSCIELLO,124828,Italy,European People's Party,None,Forza Italia,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Emmanuel MAUREL,24505,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Non-attached Members,Parti socialiste,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Costas MAVRIDES,124691,Cyprus,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Democratic Party,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Eva MAYDELL,98341,Bulgaria,European People's Party,None,Citizens for European Development of Bulgaria,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Georg MAYER,38511,Austria,Non-attached Members,Europe of Nations and Freedom Group ,Freiheitliche Partei Österreichs,2014-2019,07-2014,male,Non aligned,2 terms (8-9)
Roberta METSOLA,118859,Malta,European People's Party,None,Partit Nazzjonalista,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Martina MICHELS,120478,Germany,Confederal Group of the European United Left,None,DIE LINKE.,2014-2019,07-2014,female,left,2 terms (8-9)
Iskra MIHAYLOVA,125128,Bulgaria,Group of the Alliance of Liberals and Democrats for Europe,None,Movement for Rights and Freedoms,2014-2019,07-2014,female,centre,2 terms (8-9)
Csaba MOLNÁR,124722,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Demokratikus Koalíció,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Cláudia MONTEIRO DE AGUIAR,124734,Portugal,European People's Party,None,Partido Social Democrata,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Nadine MORANO,72779,France,European People's Party,None,Union pour un Mouvement Populaire,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Alessandra MORETTI,124799,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Ulrike MÜLLER,124862,Germany,Group of the Alliance of Liberals and Democrats for Europe,None,Freie Wähler,2014-2019,07-2014,female,centre,2 terms (8-9)
Siegfried MUREŞAN,124802,Romania,European People's Party,None,Partidul Mișcarea Populară,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Alessandra MUSSOLINI,28429,Italy,European People's Party,Non-attached Members,Forza Italia,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Javier NART,125005,Spain,Group of the Alliance of Liberals and Democrats for Europe,None,Ciudadanos – Partido de la Ciudadanía,2014-2019,07-2014,male,centre,2 terms (8-9)
Victor NEGRESCU,88882,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partidul Social Democrat,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Dan NICA,124784,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partidul Social Democrat,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Luděk NIEDERMAYER,124701,Czechia,European People's Party,None,TOP 09 a Starostové,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Maria NOICHL,124836,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Younous OMARJEE,30482,France,Confederal Group of the European United Left,None,L'union pour les Outremer,2014-2019,07-2014,male,left,2 terms (8-9)
Maite PAGAZAURTUNDÚA,125038,Spain,Group of the Alliance of Liberals and Democrats for Europe,None,"Unión, Progreso y Democracia",2014-2019,07-2014,female,centre,2 terms (8-9)
Demetris PAPADAKIS,124692,Cyprus,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Movement for Social Democracy EDEK,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Kostas PAPADAKIS,125093,Greece,Non-attached Members,None,Communist Party of Greece,2014-2019,07-2014,male,Non aligned,2 terms (8-9)
Dimitrios PAPADIMOULIS,28586,Greece,Confederal Group of the European United Left,None,Coalition of the Radical Left,2014-2019,07-2014,male,left,2 terms (8-9)
Piernicola PEDICINI,124844,Italy,Europe of Freedom and Direct Democracy Group,Non-attached Members,Movimento 5 Stelle,2014-2019,07-2014,male,right,2 terms (8-9)
Morten PETERSEN,124872,Denmark,Group of the Alliance of Liberals and Democrats for Europe,None,Det Radikale Venstre,2014-2019,07-2014,male,centre,2 terms (8-9)
Pina PICIERNO,124846,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Tonino PICULA,112744,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Socijaldemokratska partija Hrvatske,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Stanislav POLČÁK,124704,Czechia,European People's Party,None,TOP 09 a Starostové,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Jiří POSPÍŠIL,125706,Czechia,European People's Party,None,TOP 09 a Starostové,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Emil RADEV,124850,Bulgaria,European People's Party,None,Citizens for European Development of Bulgaria,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Terry REINTKE,103381,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Inma RODRÍGUEZ-PIÑERO,125043,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista Obrero Español,2014-2019,07-2014,female,centre-left,2 terms (8-9)
Bronis ROPĖ,125214,Lithuania,Group of the Greens/European Free Alliance,None,Lietuvos valstiečių ir žaliųjų sąjunga,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Massimiliano SALINI,125670,Italy,European People's Party,None,Unione di Centro,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Anne SANDER,24594,France,European People's Party,None,Union pour un Mouvement Populaire,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Alfred SANT,124781,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partit Laburista,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Petri SARVAMAA,112611,Finland,European People's Party,None,Kansallinen Kokoomus,2014-2019,07-2014,male,centre-right,2 terms (8-9)
Annie SCHREIJER-PIERIK,125030,Netherlands,European People's Party,None,Christen Democratisch Appèl,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Joachim SCHUSTER,124837,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Pedro SILVA PEREIRA,124747,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista,2014-2019,07-2014,male,centre-left,2 terms (8-9)
Michaela ŠOJDROVÁ,124710,Czechia,European People's Party,None,Křesťanská a demokratická unie - Československá strana lidová,2014-2019,07-2014,female,centre-right,2 terms (8-9)
Martin SONNEBORN,124834,Germany,Non-attached Members,None,Die PARTEI,2014-2019,07-2014,male,Non aligned,2 terms (8-9)
Maria SPYRAKI,125064,Greece,European People's Party,None,Nea Demokratia,2014-2019,07-2014,female,centre-right,2 terms (8-9)
