fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender
Raimon OBIOLS,4328,Spain,Group of the Party of European Socialists ,None,Partido Socialista Obrero Español ,1999-2004,07-1999,male
Juan OJEDA SANZ,4316,Spain,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Popular ,1999-2004,07-1999,male
Jens Dyhr OKKING,4438,Denmark,Group for a Europe of Democracies and Diversities ,Confederal Group of the European United Left/Nordic Green Left ,JuniBevægelsen ,1999-2004,07-1999,male
Karl Erik OLSSON,2068,Sweden,"Group of the European Liberal, Democrat and Reform Party ",None,Centerpartiet ,1999-2004,07-1999,male
Seán Ó NEACHTAIN,22861,Ireland,Union for Europe of the Nations Group ,None,Fianna Fáil Party ,1999-2004,07-2002,male
Gérard ONESTA,1838,France,Group of the Greens/European Free Alliance ,None,Les Verts-Europe-Ecologie ,1999-2004,07-1999,male
Ria OOMEN-RUIJTEN,1122,Netherlands,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christen Democratisch Appèl ,1999-2004,07-1999,female
Arie M. OOSTLANDER,1282,Netherlands,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christen Democratisch Appèl ,1999-2004,07-1999,male
Marcelino OREJA ARBURÚA,22948,Spain,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Popular ,1999-2004,07-2002,male
Maria del Carmen ORTIZ RIVAS,26680,Spain,Group of the Party of European Socialists ,None,Partido Socialista Obrero Español ,1999-2004,03-2004,female
Josu ORTUONDO LARREA,4377,Spain,Group of the Greens/European Free Alliance ,None,Partido Nacionalista Vasco ,1999-2004,07-1999,male
Csaba ŐRY,23819,Hungary,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Fidesz-Magyar Polgári Szövetség ,1999-2004,04-2003,male
Barbara O'TOOLE,4534,United Kingdom,Group of the Party of European Socialists ,None,Labour Party ,1999-2004,07-1999,female
Miroslav OUZKÝ,23705,Czechia,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Občanská demokratická strana ,1999-2004,04-2003,male
Siiri OVIIR,26829,Estonia,"Group of the European Liberal, Democrat and Reform Party ",None,Eesti Keskerakond ,1999-2004,05-2004,female
Reino PAASILINNA,2301,Finland,Group of the Party of European Socialists ,None,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti ,1999-2004,07-1999,male
José PACHECO PEREIRA,4449,Portugal,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Social Democrata ,1999-2004,07-1999,male
Elena Ornella PACIOTTI,4415,Italy,Group of the Party of European Socialists ,None,Democratici di Sinistra ,1999-2004,07-1999,female
Doris PACK,1191,Germany,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christlich Demokratische Union Deutschlands ,1999-2004,07-1999,female
Ian R.K. PAISLEY,1396,United Kingdom,Non-attached Members,None,Democratic Unionist Party ,1999-2004,07-1999,male
Ana PALACIO VALLELERSUNDI,1995,Spain,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Popular ,1999-2004,07-1999,female
Loyola de PALACIO VALLELERSUNDI,4307,Spain,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Popular ,1999-2004,07-1999,female
Alena PALEČKOVÁ,23843,Czechia,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Občanská demokratická strana ,1999-2004,04-2003,female
Marco PANNELLA,1002,Italy,Technical Group of Independent Members ,Non-attached Members,Lista Emma Bonino ,1999-2004,07-1999,male
Mihail PAPAYANNAKIS,1051,Greece,Confederal Group of the European United Left/Nordic Green Left ,None,Synaspismos tis Aristeras kai tis Proodou ,1999-2004,07-1999,male
Neil PARISH,4528,United Kingdom,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Conservative and Unionist Party ,1999-2004,07-1999,male
Charles PASQUA,4359,France,Union for Europe of the Nations Group ,None,Rassemblement pour la France ,1999-2004,07-1999,male
Agnieszka PASTERNAK,23890,Poland,Group of the Party of European Socialists ,None,Sojusz Lewicy Demokratycznej ,1999-2004,04-2003,female
Paolo PASTORELLI,21816,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Cristiani democratici uniti ,1999-2004,06-2001,male
Ioannis PATAKIS,6020,Greece,Confederal Group of the European United Left/Nordic Green Left ,None,Kommounistiko Komma Elladas ,1999-2004,01-2001,male
Béatrice PATRIE,4309,France,Group of the Party of European Socialists ,None,Mouvement des citoyens ,1999-2004,07-1999,female
Marit PAULSEN,4270,Sweden,"Group of the European Liberal, Democrat and Reform Party ",None,Folkpartiet liberalerna ,1999-2004,07-1999,female
Andrzej Lech PĘCZAK,23770,Poland,Group of the Party of European Socialists ,None,Sojusz Lewicy Demokratycznej ,1999-2004,04-2003,male
Karla M.H. PEIJS,1123,Netherlands,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christen Democratisch Appèl ,1999-2004,07-1999,female
Manuel PÉREZ ÁLVAREZ,4320,Spain,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Popular ,1999-2004,07-1999,male
Fernando PÉREZ ROYO,1333,Spain,Group of the Party of European Socialists ,None,Partido Socialista Obrero Español ,1999-2004,07-1999,male
Roy PERRY,2084,United Kingdom,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Conservative and Unionist Party ,1999-2004,07-1999,male
Mikko PESÄLÄ,4259,Finland,"Group of the European Liberal, Democrat and Reform Party ",None,Suomen Keskusta ,1999-2004,07-1999,male
Alojz PETERLE,23693,Slovenia,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Nova Slovenija ,1999-2004,04-2003,male
Peter PEX,1963,Netherlands,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christen Democratisch Appèl ,1999-2004,06-2003,male
Willi PIECYK,1866,Germany,Group of the Party of European Socialists ,None,Sozialdemokratische Partei Deutschlands ,1999-2004,07-1999,male
Jerzy PIENIĄŻEK,23719,Poland,Group of the Party of European Socialists ,None,Sojusz Lewicy Demokratycznej ,1999-2004,04-2003,male
Yves PIÉTRASANTA,4390,France,Group of the Greens/European Free Alliance ,None,Les Verts-Europe-Ecologie ,1999-2004,07-1999,male
Hubert PIRKER,2307,Austria,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Österreichische Volkspartei ,1999-2004,07-1999,male
Joaquim PISCARRETA,22684,Portugal,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Social Democrata ,1999-2004,04-2002,male
Giuseppe PISICCHIO,4456,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Rinnovamento italiano - Dini ,1999-2004,07-1999,male
Gianni PITTELLA,4436,Italy,Group of the Party of European Socialists ,None,Democratici di Sinistra ,1999-2004,07-1999,male
Artur PLOKŠTO,23738,Lithuania,Group of the Party of European Socialists ,None,Lietuvos Socialdemokratų Partija ,1999-2004,04-2003,male
Elly PLOOIJ-VAN GORSEL,1966,Netherlands,"Group of the European Liberal, Democrat and Reform Party ",None,Volkspartij voor Vrijheid en Democratie ,1999-2004,07-1999,female
Guido PODESTÀ,2046,Italy,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Forza Italia ,1999-2004,07-1999,male
Bogdan Leszek PODGÓRSKI,23720,Poland,Group of the Party of European Socialists ,None,Sojusz Lewicy Demokratycznej ,1999-2004,04-2003,male
Janez PODOBNIK,23698,Slovenia,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Slovenska Ljudska Stranka ,1999-2004,04-2003,male
Samuli POHJAMO,2340,Finland,"Group of the European Liberal, Democrat and Reform Party ",None,Suomen Keskusta ,1999-2004,07-1999,male
Bernard POIGNANT,4311,France,Group of the Party of European Socialists ,None,Parti socialiste ,1999-2004,07-1999,male
Adriana POLI BORTONE,4467,Italy,Non-attached Members,Union for Europe of the Nations Group ,Alleanza nazionale ,1999-2004,07-1999,female
José Javier POMÉS RUIZ,1882,Spain,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Popular ,1999-2004,07-1999,male
Jacques F. POOS,4427,Luxembourg,Group of the Party of European Socialists ,None,Parti ouvrier socialiste luxembourgeois ,1999-2004,07-1999,male
Paulo PORTAS,4459,Portugal,Union for Europe of the Nations Group ,None,Partido Popular ,1999-2004,07-1999,male
Jiří POSPÍŠIL,23845,Czechia,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Občanská demokratická strana ,1999-2004,04-2003,male
Bernd POSSELT,2229,Germany,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christlich-Soziale Union in Bayern e.V. ,1999-2004,07-1999,male
Hans-Gert PÖTTERING,1253,Germany,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christlich Demokratische Union Deutschlands ,1999-2004,07-1999,male
Christa PRETS,4239,Austria,Group of the Party of European Socialists ,None,Sozialdemokratische Partei Österreichs ,1999-2004,07-1999,female
Giovanni PROCACCI,4460,Italy,"Group of the European Liberal, Democrat and Reform Party ",None,I Democratici ,1999-2004,07-1999,male
Bartho PRONK,953,Netherlands,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christen Democratisch Appèl ,1999-2004,07-1999,male
Jacek PROTASIEWICZ,23782,Poland,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Platforma Obywatelska ,1999-2004,04-2003,male
James L.C. PROVAN,1538,United Kingdom,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Conservative and Unionist Party ,1999-2004,07-1999,male
Alonso José PUERTA,1033,Spain,Confederal Group of the European United Left/Nordic Green Left ,None,Izquierda Unida ,1999-2004,07-1999,male
John PURVIS,729,United Kingdom,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Scottish Conservative and Unionist Party ,1999-2004,07-1999,male
Sylwia PUSZ,23771,Poland,Group of the Party of European Socialists ,None,Sojusz Lewicy Demokratycznej ,1999-2004,04-2003,female
Luís QUEIRÓ,4461,Portugal,Union for Europe of the Nations Group ,None,Partido Popular ,1999-2004,07-1999,male
Godelieve QUISTHOUDT-ROWOHL,1055,Germany,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christlich Demokratische Union Deutschlands ,1999-2004,07-1999,female
Reinhard RACK,2206,Austria,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Österreichische Volkspartei ,1999-2004,07-1999,male
Alexander RADWAN,4292,Germany,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Christlich-Soziale Union in Bayern e.V. ,1999-2004,07-1999,male
Christa RANDZIO-PLATH,1192,Germany,Group of the Party of European Socialists ,None,Sozialdemokratische Partei Deutschlands ,1999-2004,07-1999,female
Miloslav RANSDORF,23706,Czechia,Confederal Group of the European United Left/Nordic Green Left ,None,Komunistická strana Čech a Moravy ,1999-2004,04-2003,male
Bernhard RAPKAY,1906,Germany,Group of the Party of European Socialists ,None,Sozialdemokratische Partei Deutschlands ,1999-2004,07-1999,male
Daniela RASCHHOFER,2292,Austria,Non-attached Members,None,Freiheitliche Partei Österreichs ,1999-2004,07-1999,female
Michel RAYMOND,4411,France,Group for a Europe of Democracies and Diversities ,None,"Chasse, Pêche, Nature, Traditions ",1999-2004,07-1999,male
Imelda Mary READ,1302,United Kingdom,Group of the Party of European Socialists ,None,Labour Party ,1999-2004,07-1999,female
Viviane REDING,1185,Luxembourg,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Parti chrétien social ,1999-2004,08-1999,female
Encarnación REDONDO JIMÉNEZ,1998,Spain,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Popular ,1999-2004,07-1999,female
Janno REILJAN,23863,Estonia,Union for Europe of the Nations Group ,None,Eestimaa Rahvalliit ,1999-2004,04-2003,male
Fernando REIS,4457,Portugal,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Social Democrata ,1999-2004,07-1999,male
Sérgio RIBEIRO,234,Portugal,Confederal Group of the European United Left/Nordic Green Left ,None,Partido Comunista Português ,1999-2004,02-2004,male
José RIBEIRO E CASTRO,5570,Portugal,Union for Europe of the Nations Group ,None,Partido Popular ,1999-2004,11-1999,male
Mónica RIDRUEJO,4310,Spain,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Popular ,1999-2004,07-1999,female
Frédérique RIES,4253,Belgium,"Group of the European Liberal, Democrat and Reform Party ",None,Parti réformateur libéral/Front démocratique des francophones ,1999-2004,07-1999,female
Karin RIIS-JØRGENSEN,1926,Denmark,"Group of the European Liberal, Democrat and Reform Party ",None,Venstre ,1999-2004,07-1999,female
Carlos RIPOLL Y MARTÍNEZ DE BEDOYA,4325,Spain,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Popular ,1999-2004,07-1999,male
Michel ROCARD,1977,France,Group of the Party of European Socialists ,None,Parti socialiste ,1999-2004,07-1999,male
Didier ROD,4387,France,Group of the Greens/European Free Alliance ,None,Les Verts-Europe-Ecologie ,1999-2004,07-1999,male
María Soraya RODRÍGUEZ RAMOS,4344,Spain,Group of the Party of European Socialists ,None,Partido Socialista Obrero Español ,1999-2004,07-1999,female
Helena RÖGNEROVÁ,26836,Czechia,"Group of the European Liberal, Democrat and Reform Party ",None,no party ,1999-2004,05-2004,female
Alexander de ROO,4505,Netherlands,Group of the Greens/European Free Alliance ,None,GroenLinks ,1999-2004,07-1999,male
