,fullName,country,politicalGroup,id,nationalPoliticalGroup
661,Alexandr VONDRA,Czechia,European Conservatives and Reformists Group,197537,Občanská demokratická strana
662,Axel VOSS,Germany,Group of the European People's Party (Christian Democrats),96761,Christlich Demokratische Union Deutschlands
663,Elissavet VOZEMBERG-VRIONIDI,Greece,Group of the European People's Party (Christian Democrats),125065,Nea Demokratia
664,Veronika VRECIONOVÁ,Czechia,European Conservatives and Reformists Group,197552,Občanská demokratická strana
665,Lucia VUOLO,Italy,Group of the European People's Party (Christian Democrats),197798,Forza Italia
666,Adrián VÁZQUEZ LÁZARA,Spain,Renew Europe Group,204400,Ciudadanos – Partido de la Ciudadanía
667,Thomas WAITZ,Austria,Group of the Greens/European Free Alliance,190464,Die Grünen - Die Grüne Alternative
668,Mick WALLACE,Ireland,The Left group in the European Parliament - GUE/NGL,197817,Independents for change
669,Maria WALSH,Ireland,Group of the European People's Party (Christian Democrats),197863,Fine Gael Party
670,Marion WALSMANN,Germany,Group of the European People's Party (Christian Democrats),197429,Christlich Demokratische Union Deutschlands
671,Jörgen WARBORN,Sweden,Group of the European People's Party (Christian Democrats),197405,Moderaterna
672,Witold Jan WASZCZYKOWSKI,Poland,European Conservatives and Reformists Group,197566,Prawo i Sprawiedliwość
673,Manfred WEBER,Germany,Group of the European People's Party (Christian Democrats),28229,Christlich-Soziale Union in Bayern e.V.
674,Charlie WEIMERS,Sweden,European Conservatives and Reformists Group,123562,Sverigedemokraterna
675,Pernille WEISS,Denmark,Group of the European People's Party (Christian Democrats),197515,Det Konservative Folkeparti
676,Rainer WIELAND,Germany,Group of the European People's Party (Christian Democrats),2323,Christlich Demokratische Union Deutschlands
677,Sarah WIENER,Austria,Group of the Greens/European Free Alliance,197675,Die Grünen - Die Grüne Alternative
678,Emma WIESNER,Sweden,Renew Europe Group,214839,Centerpartiet
679,Michal WIEZIK,Slovakia,Renew Europe Group,197769,Progresívne Slovensko
680,Iuliu WINKLER,Romania,Group of the European People's Party (Christian Democrats),39725,Uniunea Democrată Maghiară din România
681,Angelika WINZIG,Austria,Group of the European People's Party (Christian Democrats),197652,Österreichische Volkspartei
682,Isabel WISELER-LIMA,Luxembourg,Group of the European People's Party (Christian Democrats),197421,Parti chrétien social luxembourgeois
683,Jadwiga WIŚNIEWSKA,Poland,European Conservatives and Reformists Group,124877,Prawo i Sprawiedliwość
684,Tiemo WÖLKEN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,185619,Sozialdemokratische Partei Deutschlands
685,Lara WOLTERS,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,5392,Partij van de Arbeid
686,Salima YENBOU,France,Renew Europe Group,197511,Renaissance
687,Stéphanie YON-COURTIN,France,Renew Europe Group,197581,Liste Renaissance
688,Elena YONCHEVA,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197842,Bulgarian Socialist Party
689,Theodoros ZAGORAKIS,Greece,Group of the European People's Party (Christian Democrats),125067,Nea Demokratia
690,Jan ZAHRADIL,Czechia,European Conservatives and Reformists Group,23712,Občanská demokratická strana
691,Anna ZALEWSKA,Poland,European Conservatives and Reformists Group,197572,Prawo i Sprawiedliwość
692,Stefania ZAMBELLI,Italy,Identity and Democracy Group,197586,Lega
693,Marco ZANNI,Italy,Identity and Democracy Group,124780,Lega
694,Javier ZARZALEJOS,Spain,Group of the European People's Party (Christian Democrats),197606,Partido Popular
695,Tatjana ŽDANOKA,Latvia,Non-attached Members,28619,Latvijas Krievu savienība
696,Tomáš ZDECHOVSKÝ,Czechia,Group of the European People's Party (Christian Democrats),124713,Křesťanská a demokratická unie - Československá strana lidová
697,Roberts ZĪLE,Latvia,European Conservatives and Reformists Group,28615,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK"""
698,Bernhard ZIMNIOK,Germany,Identity and Democracy Group,197489,Alternative für Deutschland
699,Kosma ZŁOTOWSKI,Poland,European Conservatives and Reformists Group,124884,Prawo i Sprawiedliwość
700,Juan Ignacio ZOIDO ÁLVAREZ,Spain,Group of the European People's Party (Christian Democrats),197621,Partido Popular
701,Carlos ZORRINHO,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124739,Partido Socialista
702,Željana ZOVKO,Croatia,Group of the European People's Party (Christian Democrats),185341,Hrvatska demokratska zajednica
703,Marco ZULLO,Italy,Renew Europe Group,125237,Independent
704,Milan ZVER,Slovenia,Group of the European People's Party (Christian Democrats),96933,Slovenska demokratska stranka
