,fullName,country,politicalGroup,id,nationalPoliticalGroup
406,Margarida MARQUES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197638,Partido Socialista
407,Pedro MARQUES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197634,Partido Socialista
408,Fulvio MARTUSCIELLO,Italy,Group of the European People's Party (Christian Democrats),124828,Forza Italia
409,Marisa MATIAS,Portugal,The Left group in the European Parliament - GUE/NGL,96820,Bloco de Esquerda
410,Predrag Fred MATIĆ,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197441,Socijaldemokratska partija Hrvatske
411,Gabriel MATO,Spain,Group of the European People's Party (Christian Democrats),96936,Partido Popular
412,Sara MATTHIEU,Belgium,Group of the Greens/European Free Alliance,208722,Groen
413,Emmanuel MAUREL,France,The Left group in the European Parliament - GUE/NGL,24505,Gauche républicaine et socialiste
414,Costas MAVRIDES,Cyprus,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124691,Democratic Party
415,Radka MAXOVÁ,Czechia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197522,Independent
416,Eva MAYDELL,Bulgaria,Group of the European People's Party (Christian Democrats),98341,Citizens for European Development of Bulgaria
417,Georg MAYER,Austria,Identity and Democracy Group,38511,Freiheitliche Partei Österreichs
418,Beata MAZUREK,Poland,European Conservatives and Reformists Group,197538,Prawo i Sprawiedliwość
419,Liudas MAŽYLIS,Lithuania,Group of the European People's Party (Christian Democrats),197841,Tėvynės sąjunga-Lietuvos krikščionys demokratai
420,Nora MEBAREK,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,204418,Parti socialiste
421,Vangelis MEIMARAKIS,Greece,Group of the European People's Party (Christian Democrats),197662,Nea Demokratia
422,Dace MELBĀRDE,Latvia,Group of the European People's Party (Christian Democrats),130256,"Partija ""VIENOTĪBA"""
423,Karen MELCHIOR,Denmark,Renew Europe Group,197567,Independent
424,Nuno MELO,Portugal,Group of the European People's Party (Christian Democrats),96978,Partido do Centro Democrático Social-Partido Popular
425,Marina MESURE,France,The Left group in the European Parliament - GUE/NGL,236053,La France Insoumise
426,Roberta METSOLA,Malta,Group of the European People's Party (Christian Democrats),118859,Partit Nazzjonalista
427,Tilly METZ,Luxembourg,Group of the Greens/European Free Alliance,193292,Déi Gréng - Les Verts
428,Jörg MEUTHEN,Germany,Non-attached Members,190518,Deutsche Zentrumspartei
429,Martina MICHELS,Germany,The Left group in the European Parliament - GUE/NGL,120478,DIE LINKE.
430,Iskra MIHAYLOVA,Bulgaria,Renew Europe Group,125128,Movement for Rights and Freedoms
431,Sven MIKSER,Estonia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197497,Sotsiaaldemokraatlik Erakond
432,Giuseppe MILAZZO,Italy,European Conservatives and Reformists Group,197824,Fratelli d'Italia
433,Francisco José MILLÁN MON,Spain,Group of the European People's Party (Christian Democrats),28400,Partido Popular
434,Leszek MILLER,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197540,Independent
435,Eric MINARDI,France,Identity and Democracy Group,236051,Rassemblement national
436,Ana MIRANDA,Spain,Group of the Greens/European Free Alliance,24942,Bloque Nacionalista Galego
437,Alin MITUȚA,Romania,Renew Europe Group,212855,Reînnoim Proiectul European al României
438,Silvia MODIG,Finland,The Left group in the European Parliament - GUE/NGL,197805,Vasemmistoliitto
439,Csaba MOLNÁR,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124722,Demokratikus Koalíció
440,Cláudia MONTEIRO DE AGUIAR,Portugal,Group of the European People's Party (Christian Democrats),124734,Partido Social Democrata
441,Dolors MONTSERRAT,Spain,Group of the European People's Party (Christian Democrats),197711,Partido Popular
442,Nadine MORANO,France,Group of the European People's Party (Christian Democrats),72779,Les Républicains
443,Javier MORENO SÁNCHEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28347,Partido Socialista Obrero Español
444,Alessandra MORETTI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124799,Partito Democratico
445,Marlene MORTLER,Germany,Group of the European People's Party (Christian Democrats),197427,Christlich-Soziale Union in Bayern e.V.
446,Dan-Ştefan MOTREANU,Romania,Group of the European People's Party (Christian Democrats),197647,Partidul Naţional Liberal
447,Andżelika Anna MOŻDŻANOWSKA,Poland,European Conservatives and Reformists Group,197541,Prawo i Sprawiedliwość
448,Theresa BIELOWSKI,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,238674,Sozialdemokratische Partei Österreichs
449,Ulrike MÜLLER,Germany,Renew Europe Group,124862,Freie Wähler
450,Siegfried MUREŞAN,Romania,Group of the European People's Party (Christian Democrats),124802,Partidul Naţional Liberal
451,Alessandra MUSSOLINI,Italy,Group of the European People's Party (Christian Democrats),28429,Forza Italia
452,Caroline NAGTEGAAL,Netherlands,Renew Europe Group,190519,Volkspartij voor Vrijheid en Democratie
453,Javier NART,Spain,Renew Europe Group,125005,Independiente
454,Victor NEGRESCU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,88882,Partidul Social Democrat
455,Matjaž NEMEC,Slovenia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,233862,Socialni demokrati
456,Denis NESCI,Italy,European Conservatives and Reformists Group,239260,FRATELLI D' ITALIA
457,Hannah NEUMANN,Germany,Group of the Greens/European Free Alliance,197464,Bündnis 90/Die Grünen
458,Katarína ROTH NEVEĎALOVÁ,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96653,SMER-Sociálna demokracia
459,Dan NICA,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124784,Partidul Social Democrat
460,Angelika NIEBLER,Germany,Group of the European People's Party (Christian Democrats),4289,Christlich-Soziale Union in Bayern e.V.
461,Luděk NIEDERMAYER,Czechia,Group of the European People's Party (Christian Democrats),124701,TOP 09 a Starostové
462,Niklas NIENAß,Germany,Group of the Greens/European Free Alliance,197465,Bündnis 90/Die Grünen
463,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,197802,Vihreä liitto
464,Lefteris NIKOLAOU-ALAVANOS,Greece,Non-attached Members,197734,Communist Party of Greece
465,Johan NISSINEN,Sweden,European Conservatives and Reformists Group,238639,Sverigedemokraterna
466,Gheorghe-Vlad NISTOR,Romania,Group of the European People's Party (Christian Democrats),202112,Partidul Naţional Liberal
467,Maria NOICHL,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124836,Sozialdemokratische Partei Deutschlands
468,Ljudmila NOVAK,Slovenia,Group of the European People's Party (Christian Democrats),28294,Nova Slovenija – Krščanski demokrati
469,Andrey NOVAKOV,Bulgaria,Group of the European People's Party (Christian Democrats),107212,Citizens for European Development of Bulgaria
470,Janina OCHOJSKA,Poland,Group of the European People's Party (Christian Democrats),197542,Independent
471,Jan-Christoph OETJEN,Germany,Renew Europe Group,197432,Freie Demokratische Partei
472,Carina OHLSSON,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,237779,Arbetarepartiet- Socialdemokraterna
473,Jan OLBRYCHT,Poland,Group of the European People's Party (Christian Democrats),28288,Platforma Obywatelska
474,Juozas OLEKAS,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197838,Lietuvos socialdemokratų partija
475,Philippe OLIVIER,France,Identity and Democracy Group,197687,Rassemblement national
476,Younous OMARJEE,France,The Left group in the European Parliament - GUE/NGL,30482,La France Insoumise
477,Max ORVILLE,France,Renew Europe Group,234344,Mouvement Démocrate
478,Grace O'SULLIVAN,Ireland,Group of the Greens/European Free Alliance,197889,Green Party
479,Urmas PAET,Estonia,Renew Europe Group,129073,Eesti Reformierakond
480,Maite PAGAZAURTUNDÚA,Spain,Renew Europe Group,125038,Delegación Ciudadanos Europeos
481,Alessandro PANZA,Italy,Identity and Democracy Group,99283,Lega
482,Demetris PAPADAKIS,Cyprus,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124692,Movement for Social Democracy EDEK
483,Kostas PAPADAKIS,Greece,Non-attached Members,125093,Communist Party of Greece
484,Dimitrios PAPADIMOULIS,Greece,The Left group in the European Parliament - GUE/NGL,28586,Coalition of the Radical Left
485,Aldo PATRICIELLO,Italy,Group of the European People's Party (Christian Democrats),36392,Forza Italia
486,Jutta PAULUS,Germany,Group of the Greens/European Free Alliance,197466,Bündnis 90/Die Grünen
487,Piernicola PEDICINI,Italy,Group of the Greens/European Free Alliance,124844,Independent
488,Mauri PEKKARINEN,Finland,Renew Europe Group,197563,Suomen Keskusta
489,Mikuláš PEKSA,Czechia,Group of the Greens/European Free Alliance,197539,PIRÁTI
490,Anne-Sophie PELLETIER,France,The Left group in the European Parliament - GUE/NGL,197527,La France Insoumise
491,Tsvetelina PENKOVA,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197845,Bulgarian Socialist Party
492,Sandra PEREIRA,Portugal,The Left group in the European Parliament - GUE/NGL,197754,Partido Comunista Português
493,Lídia PEREIRA,Portugal,Group of the European People's Party (Christian Democrats),197738,Partido Social Democrata
494,Kira Marie PETER-HANSEN,Denmark,Group of the Greens/European Free Alliance,197573,Socialistisk Folkeparti
495,Morten PETERSEN,Denmark,Renew Europe Group,124872,Det Radikale Venstre
496,Pina PICIERNO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124846,Partito Democratico
497,Tonino PICULA,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,112744,Socijaldemokratska partija Hrvatske
498,Markus PIEPER,Germany,Group of the European People's Party (Christian Democrats),28224,Christlich Demokratische Union Deutschlands
499,Sirpa PIETIKÄINEN,Finland,Group of the European People's Party (Christian Democrats),40599,Kansallinen Kokoomus
500,Sabrina PIGNEDOLI,Italy,Non-attached Members,197619,Movimento 5 Stelle
501,João PIMENTA LOPES,Portugal,The Left group in the European Parliament - GUE/NGL,136236,Partido Comunista Português
502,Manu PINEDA,Spain,The Left group in the European Parliament - GUE/NGL,197828,Izquierda Unida
503,Maxette PIRBAKAS,France,Non-attached Members,197629,Indépendant
504,Margarita DE LA PISA CARRIÓN,Spain,European Conservatives and Reformists Group,204414,VOX
505,Giuliano PISAPIA,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197590,Independent
506,Dragoş PÎSLARU,Romania,Renew Europe Group,197663,Reînnoim Proiectul European al României
507,Rovana PLUMB,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,38595,Partidul Social Democrat
508,Stanislav POLČÁK,Czechia,Group of the European People's Party (Christian Democrats),124704,Starostové a nezávisli
509,Jessica POLFJÄRD,Sweden,Group of the European People's Party (Christian Democrats),197404,Moderaterna
510,Peter POLLÁK,Slovakia,Group of the European People's Party (Christian Democrats),197765,Obyčajní ľudia a nezávislé osobnosti
511,Clara PONSATÍ OBIOLS,Spain,Non-attached Members,204443,Junts per Catalunya - Lliures per Europa
512,Eva Maria POPTCHEVA,Spain,Renew Europe Group,237320,Ciudadanos – Partido de la Ciudadanía
513,Tomasz Piotr PORĘBA,Poland,European Conservatives and Reformists Group,96801,Prawo i Sprawiedliwość
514,Jiří POSPÍŠIL,Czechia,Group of the European People's Party (Christian Democrats),125706,TOP 09 a Starostové
515,Erik POULSEN,Denmark,Renew Europe Group,239972,"Venstre, Danmarks Liberale Parti"
516,Nicola PROCACCINI,Italy,European Conservatives and Reformists Group,197820,Fratelli d'Italia
517,Carles PUIGDEMONT I CASAMAJÓ,Spain,Non-attached Members,202351,Junts per Catalunya - Lliures per Europa
518,Miroslav RADAČOVSKÝ,Slovakia,Non-attached Members,197764,Slovak PATRIOT
519,Emil RADEV,Bulgaria,Group of the European People's Party (Christian Democrats),124850,Citizens for European Development of Bulgaria
520,Dennis RADTKE,Germany,Group of the European People's Party (Christian Democrats),188945,Christlich Demokratische Union Deutschlands
521,Samira RAFAELA,Netherlands,Renew Europe Group,197868,Democraten 66
522,Elżbieta RAFALSKA,Poland,European Conservatives and Reformists Group,197544,Prawo i Sprawiedliwość
523,Paulo RANGEL,Portugal,Group of the European People's Party (Christian Democrats),96903,Partido Social Democrata
524,Luisa REGIMENTI,Italy,Group of the European People's Party (Christian Democrats),197790,Forza Italia
525,Evelyn REGNER,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96998,Sozialdemokratische Partei Österreichs
526,Sira REGO,Spain,The Left group in the European Parliament - GUE/NGL,197681,Izquierda Unida
527,Guido REIL,Germany,Identity and Democracy Group,197488,Alternative für Deutschland
528,Terry REINTKE,Germany,Group of the Greens/European Free Alliance,103381,Bündnis 90/Die Grünen
529,René REPASI,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,229839,Sozialdemokratische Partei Deutschlands
530,Karlo RESSLER,Croatia,Group of the European People's Party (Christian Democrats),197413,Hrvatska demokratska zajednica
531,Thijs REUTEN,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,218347,Partij van de Arbeid
532,Diana RIBA I GINER,Spain,Group of the Greens/European Free Alliance,197832,Esquerra Republicana de Catalunya
533,Frédérique RIES,Belgium,Renew Europe Group,4253,Mouvement Réformateur
534,Antonio Maria RINALDI,Italy,Identity and Democracy Group,197787,Lega
535,Catharina RINZEMA,Netherlands,Renew Europe Group,229519,Volkspartij voor Vrijheid en Democratie
536,Manuela RIPA,Germany,Group of the Greens/European Free Alliance,206158,Ökologisch-Demokratische Partei
537,Dominique RIQUET,France,Renew Europe Group,96885,Mouvement Radical Social-Libéral
538,Michèle RIVASI,France,Group of the Greens/European Free Alliance,96743,Europe Écologie
539,Jérôme RIVIÈRE,France,Non-attached Members,197615,Reconquête!
540,Franco ROBERTI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197801,Partito Democratico
541,Inma RODRÍGUEZ-PIÑERO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125043,Partido Socialista Obrero Español
542,Eugenia RODRÍGUEZ PALOP,Spain,The Left group in the European Parliament - GUE/NGL,197785,PODEMOS
543,María Soraya RODRÍGUEZ RAMOS,Spain,Renew Europe Group,4344,Ciudadanos – Partido de la Ciudadanía
544,Sándor RÓNAI,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197584,Demokratikus Koalíció
545,Daniela RONDINELLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197792,Partito Democratico
546,Rob ROOKEN,Netherlands,European Conservatives and Reformists Group,197776,JA21
547,Dorien ROOKMAKER,Netherlands,European Conservatives and Reformists Group,204733,Meer Directe Democratie
548,Robert ROOS,Netherlands,European Conservatives and Reformists Group,197709,JA21
549,Caroline ROOSE,France,Group of the Greens/European Free Alliance,197506,Europe Écologie
550,Bronis ROPĖ,Lithuania,Group of the Greens/European Free Alliance,125214,Lietuvos valstiečių ir žaliųjų sąjunga
551,Marcos ROS SEMPERE,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,204413,Partido Socialista Obrero Español
552,André ROUGÉ,France,Identity and Democracy Group,197690,Rassemblement national
553,Bert-Jan RUISSEN,Netherlands,European Conservatives and Reformists Group,197773,Staatkundig Gereformeerde Partij
554,Domènec RUIZ DEVESA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,127096,Partido Socialista Obrero Español
555,Bogdan RZOŃCA,Poland,European Conservatives and Reformists Group,197545,Prawo i Sprawiedliwość
556,Christian SAGARTZ,Austria,Group of the European People's Party (Christian Democrats),204368,Österreichische Volkspartei
557,Massimiliano SALINI,Italy,Group of the European People's Party (Christian Democrats),125670,Forza Italia
558,Nacho SÁNCHEZ AMOR,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197722,Partido Socialista Obrero Español
559,Anne SANDER,France,Group of the European People's Party (Christian Democrats),24594,Les Républicains
560,Alfred SANT,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124781,Partit Laburista
561,Isabel SANTOS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197650,Partido Socialista
562,Silvia SARDONE,Italy,Identity and Democracy Group,197578,Lega
563,Petri SARVAMAA,Finland,Group of the European People's Party (Christian Democrats),112611,Kansallinen Kokoomus
564,Jacek SARYUSZ-WOLSKI,Poland,European Conservatives and Reformists Group,28297,Prawo i Sprawiedliwość
565,Mounir SATOURI,France,Group of the Greens/European Free Alliance,197500,Europe Écologie
566,Christel SCHALDEMOSE,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,37312,Socialdemokratiet
567,Ernő SCHALLER-BAROSS,Hungary,Non-attached Members,213330,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
568,Andreas SCHIEDER,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197670,Sozialdemokratische Partei Österreichs
569,Martin SCHIRDEWAN,Germany,The Left group in the European Parliament - GUE/NGL,190517,DIE LINKE.
570,Simone SCHMIEDTBAUER,Austria,Group of the European People's Party (Christian Democrats),197656,Österreichische Volkspartei
571,Christine SCHNEIDER,Germany,Group of the European People's Party (Christian Democrats),197422,Christlich Demokratische Union Deutschlands
572,Helmut SCHOLZ,Germany,The Left group in the European Parliament - GUE/NGL,96646,DIE LINKE.
573,Annie SCHREIJER-PIERIK,Netherlands,Group of the European People's Party (Christian Democrats),125030,Christen Democratisch Appèl
574,Joachim SCHUSTER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124837,Sozialdemokratische Partei Deutschlands
575,Andreas SCHWAB,Germany,Group of the European People's Party (Christian Democrats),28223,Christlich Demokratische Union Deutschlands
576,Ralf SEEKATZ,Germany,Group of the European People's Party (Christian Democrats),197425,Christlich Demokratische Union Deutschlands
577,Stéphane SÉJOURNÉ,France,Renew Europe Group,197508,La République en marche
578,Monica SEMEDO,Luxembourg,Renew Europe Group,197418,Indépendent
579,Nico SEMSROTT,Germany,Group of the Greens/European Free Alliance,197423,Independent
