fullName,id,country,eu_group_1,eu_group_2,term,nation_group,start_period_1,gender
Luciana CASTELLINA,947,Italy,Group for the European United Left,None,1989-1994,Partito comunista italiano ,07-1989,female
Anna CATASTA,1116,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,female
Sir Fred CATHERWOOD,1417,United Kingdom,European Democratic Group,None,1989-1994,Conservative and Unionist Party ,07-1989,male
Gérard CAUDRON,1175,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,male
Janine CAYET,1880,France,Liberal and Democratic Reformist Group,None,1989-1994,Union pour la démocratie française ,06-1993,female
Adriana CECI,993,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,female
Pierre M.A. CEYRAC,1161,France,Technical Group of the European Right,Non-attached Members,1989-1994,Front national ,07-1989,male
Henry CHABERT,1162,France,Group of the European Democratic Alliance,Group of the European People's Party (Christian,1989-1994,Rassemblement pour la République ,07-1989,male
Raphaël M.G. CHANTERIE,1471,Belgium,Group of the European People's Party (Christian,None,1989-1994,Christelijke Volkspartij ,07-1989,male
Raymond CHESA,1877,France,Group of the European Democratic Alliance,None,1989-1994,Rassemblement pour la République ,04-1993,male
Claude CHEYSSON,1163,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,male
Mauro CHIABRANDO,1014,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Frode Nør CHRISTENSEN,1276,Denmark,Group of the European People's Party (Christian,None,1989-1994,Centrum-Demokraterne ,07-1989,male
Ib CHRISTENSEN,1048,Denmark,Rainbow Group in the European Parliament,None,1989-1994,Folkebevægelsen mod EF ,07-1989,male
Ejner Hovgård CHRISTIANSEN,1144,Denmark,Socialist Group,Non-attached Members,1989-1994,Socialdemokratiet ,07-1989,male
Efthymios CHRISTODOULOU,1464,Greece,Group of the European People's Party (Christian,None,1989-1994,Nea Dimokratia ,07-1989,male
Gaetano CINGARI,907,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito democratico della sinistra ,06-1992,male
Kenneth COATES,1322,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Yves COCHET,1202,France,The Green Group in the European Parliament,None,1989-1994,Les Verts-Europe-Ecologie ,07-1989,male
Carlos COELHO,1892,Portugal,Liberal and Democratic Reformist Group,None,1989-1994,Partido Social Democrata ,01-1994,male
António Antero COIMBRA MARTINS,1373,Portugal,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista ,07-1989,male
Luigi Alberto COLAJANNI,1137,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,male
Juan Luis COLINO SALAMANCA,1348,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,male
Kenneth D. COLLINS,1418,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Emilio COLOMBO,968,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Joan COLOM i NAVAL,1349,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partit dels Socialistes de Catalunya ,07-1989,female
Renée CONAN,1835,France,The Green Group in the European Parliament,None,1989-1994,Les Verts-Europe-Ecologie ,12-1991,female
Felice CONTU,1086,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Patrick Mark COONEY,1286,Ireland,Group of the European People's Party (Christian,None,1989-1994,Fine Gael Party ,07-1989,male
Maria Teresa COPPO GAVAZZI,1879,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,05-1993,female
Francesco CORLEONE,996,Italy,The Green Group in the European Parliament,None,1989-1994,Verdi Arcobaleno ,07-1989,male
Petrus A.M. CORNELISSEN,1452,Netherlands,Group of the European People's Party (Christian,None,1989-1994,Christen Democratisch Appèl ,07-1989,male
Jean-Pierre COT,1027,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,male
Pat COX,1287,Ireland,Liberal and Democratic Reformist Group,None,1989-1994,Progressive Democrats ,07-1989,male
Birgit CRAMON DAIBER,1060,Germany,The Green Group in the European Parliament,None,1989-1994,Bündnis 90/die Grünen ,07-1989,female
Peter Duncan CRAMPTON,1323,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
João CRAVINHO,980,Portugal,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista ,07-1989,male
Baroness Christine M. CRAWLEY,1367,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,female
Bettino CRAXI,1118,Italy,Socialist Group,None,1989-1994,Partito socialista italiano ,07-1989,male
Artur DA CUNHA OLIVEIRA,1270,Portugal,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista ,07-1989,male
John Walls CUSHNAHAN,1288,Ireland,Group of the European People's Party (Christian,None,1989-1994,Fine Gael Party ,07-1989,male
Joachim DALSASS,1087,Italy,Group of the European People's Party (Christian,None,1989-1994,Südtiroler Volkspartei ,07-1989,male
Margaret E. DALY,1368,United Kingdom,European Democratic Group,None,1989-1994,Conservative and Unionist Party ,07-1989,female
Pieter DANKERT,1453,Netherlands,Socialist Group,None,1989-1994,Partij van de Arbeid ,07-1989,male
Wayne DAVID,1314,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
