fullName,id,country,eu_group_1,eu_group_2,term,nation_group,start_period_1,gender
Juan de Dios RAMÍREZ HEREDIA,1329,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,male
Christa RANDZIO-PLATH,1192,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,female
Giuseppe RAUTI,1005,Italy,Non-attached Members,None,1989-1994,Movimento sociale italiano - Destra nazionale ,07-1989,male
Patricia E. RAWLINGS,1301,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,female
Imelda Mary READ,1302,United Kingdom,Socialist Group,None,1989-1994,Labour Party ,07-1989,female
Viviane REDING,1185,Luxembourg,Group of the European People's Party (Christian,None,1989-1994,Parti chrétien social ,07-1989,female
Tullio Eugenio REGGE,1096,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,male
Marc REYMANN,1016,France,Group of the European People's Party (Christian,None,1989-1994,Centre des démocrates sociaux ,07-1989,male
Sérgio RIBEIRO,234,Portugal,Left Unity,None,1989-1994,Coligação Democrática Unitária,10-1990,male
Günter RINSCHE,1255,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Klaus RISKÆR PEDERSEN,965,Denmark,Liberal and Democratic Reformist Group,Non-attached Members,1989-1994,Venstre ,07-1989,male
Carlos ROBLES PIQUER,1330,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,07-1989,male
Joanna RØNN,1245,Denmark,Socialist Group,Group of the Party of European Socialists,1989-1994,Socialdemokratiet ,07-1989,female
Dieter ROGALLA,1256,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
Georgios ROMEOS,1458,Greece,Socialist Group,Group of the Party of European Socialists,1989-1994,Panellinio Socialistiko Kinima ,07-1989,male
Domènec ROMERA I ALCÀZAR,1331,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,07-1989,male
Edoardo RONCHI,1097,Italy,The Green Group in the European Parliament,None,1989-1994,Verdi Arcobaleno ,07-1989,male
Frédéric ROSMINI,1208,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,male
Giorgio ROSSETTI,1006,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,male
Claudia ROTH,1057,Germany,The Green Group in the European Parliament,None,1989-1994,Bündnis 90/die Grünen ,07-1989,female
Dagmar ROTH-BEHRENDT,1183,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,female
Mechtild ROTHE,1237,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,female
Willi ROTHLEY,1247,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
Panayotis ROUMELIOTIS,1044,Greece,Socialist Group,Group of the Party of European Socialists,1989-1994,Panellinio Socialistiko Kinima ,07-1989,male
Christian ROVSING,1269,Denmark,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Det konservative folkeparti ,07-1989,male
Xavier RUBERT DE VENTÓS,1320,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partit dels Socialistes de Catalunya ,07-1989,male
Mario Giovanni Guerriero RUFFINI,1098,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Guadalupe RUIZ-GIMÉNEZ AGUILAR,1246,Spain,Liberal and Democratic Reformist Group,None,1989-1994,Centro Democràtico y Social ,07-1989,female
José María RUIZ-MATEOS JIMÉNEZ DE TEJADA,985,Spain,Non-attached Members,Group of the European Democratic Alliance,1989-1994,Agrupación de Electores José María Ruiz-Mateos ,07-1989,male
Henri SABY,975,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,male
Bernhard SÄLZER,1248,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
André SAINJON,1158,France,Socialist Group,Group of the Party of European Socialists,1989-1994,sans étiquette ,07-1989,male
Jannis SAKELLARIOU,1249,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,female
Margarida SALEMA O. MARTINS,1121,Portugal,Liberal and Democratic Reformist Group,None,1989-1994,Partido Social Democrata ,07-1989,female
Heinke SALISCH,1196,Germany,Socialist Group,None,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,female
Detlev SAMLAND,1031,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
Isidoro SÁNCHEZ GARCÍA,1868,Spain,Group of the European People's Party (Christian,Rainbow Group in the European Parliament,1989-1994,Coalición Nacionalista - Coalición Canaria ,07-1992,male
Ulla Margrethe SANDBÆK,1067,Denmark,Rainbow Group in the European Parliament,None,1989-1994,Folkebevægelsen mod EF ,07-1989,female
Maria Amélia SANTOS,944,Portugal,The Green Group in the European Parliament,None,1989-1994,Coligação Democrática Unitária,07-1989,female
Diego de los SANTOS LÓPEZ,238,Spain,Rainbow Group in the European Parliament,None,1989-1994,Partido Andalucista ,07-1990,male
Francisco Javier SANZ FERNÁNDEZ,1332,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,male
Enrique SAPENA GRANELL,1324,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,male
Georgios SARIDAKIS,1459,Greece,Group of the European People's Party (Christian,None,1989-1994,Nea Dimokratia ,07-1989,male
Pavlos SARLIS,1045,Greece,Group of the European People's Party (Christian,None,1989-1994,Nea Dimokratia ,07-1989,male
Gabriele SBOARINA,1090,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Edgar Josef SCHIEDERMEIER,1883,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich-Soziale Union in Bayern e.V. ,07-1993,male
Dieter P.A. SCHINZEL,1238,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
Marcel SCHLECHTER,235,Luxembourg,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti ouvrier socialiste luxembourgeois ,10-1990,male
Emil SCHLEE,1069,Germany,Technical Group of the European Right,Non-attached Members,1989-1994,Die Republikaner ,07-1989,male
Ursula SCHLEICHER,1197,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich-Soziale Union in Bayern e.V. ,07-1989,female
Gerhard SCHMID,1239,Germany,Socialist Group,None,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
Barbara SCHMIDBAUER,1198,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,female
Hans-Günter SCHODRUCH,1214,Germany,Technical Group of the European Right,None,1989-1994,Die Republikaner ,07-1989,male
Franz SCHÖNHUBER,1215,Germany,Technical Group of the European Right,Non-attached Members,1989-1994,Die Republikaner ,07-1989,male
Léon SCHWARTZENBERG,978,France,Socialist Group,Group of the Party of European Socialists,1989-1994,apparenté Parti socialiste ,07-1989,male
Sir James SCOTT-HOPKINS,1393,United Kingdom,European Democratic Group,None,1989-1994,Conservative and Unionist Party ,07-1989,male
Barry H. SEAL,1385,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Madron Richard SELIGMAN,1386,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,male
Mateo SIERRA BARDAJÍ,1325,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,male
Max SIMEONI,1159,France,Rainbow Group in the European Parliament,None,1989-1994,"Verts ""Europe des peuples - Per un avvene corsu - Avenir corse"" ",07-1989,male
Richard J. SIMMONDS,1387,United Kingdom,European Democratic Group,None,1989-1994,Conservative and Unionist Party ,07-1989,male
Barbara SIMONS,1187,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,female
Anthony M.H. SIMPSON,1388,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,male
Brian SIMPSON,1309,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Joaquín SISÓ CRUELLAS,1200,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,07-1989,male
Alex SMITH,1310,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Llewellyn T. SMITH,1381,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Jan SONNEVELD,1283,Netherlands,Group of the European People's Party (Christian,None,1989-1994,Christen Democratisch Appèl ,07-1989,male
André SOULIER,1871,France,Liberal and Democratic Reformist Group,None,1989-1994,Parti républicain ,08-1992,male
Roberto SPECIALE,1091,Italy,Group for the European United Left,None,1989-1994,Partito comunista italiano ,07-1989,male
Tom SPENCER,972,United Kingdom,European Democratic Group,None,1989-1994,Conservative and Unionist Party ,07-1989,male
Francesco Enrico SPERONI,997,Italy,Rainbow Group in the European Parliament,Non-attached Members,1989-1994,Lega lombarda ,07-1989,male
Paul M.J. STAES,1469,Belgium,The Green Group in the European Parliament,None,1989-1994,Anders gaan leven ,07-1989,male
Ioannis STAMOULIS,1046,Greece,Socialist Group,Group of the Party of European Socialists,1989-1994,Panellinio Socialistiko Kinima ,07-1989,male
"Graf von Franz Ludwig, Schenk STAUFFENBERG",1240,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich-Soziale Union in Bayern e.V. ,07-1989,male
Konstantinos STAVROU,1460,Greece,Group of the European People's Party (Christian,None,1989-1994,Nea Dimokratia ,07-1989,male
John C.C. STEVENS,1146,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,male
George W. STEVENSON,1382,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Kenneth A. STEWART,1383,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Sir Jack STEWART-CLARK,1384,United Kingdom,European Democratic Group,None,1989-1994,Conservative and Unionist Party ,07-1989,male
Fernando SUÁREZ GONZÁLEZ,1326,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,07-1989,male
Marco TARADASH,998,Italy,The Green Group in the European Parliament,Non-attached Members,1989-1994,Lega antiproibizionisti droga ,07-1989,male
Giuseppe TATARELLA,963,Italy,Non-attached Members,None,1989-1994,Movimento sociale italiano - Destra nazionale ,07-1989,male
Jacques TAURAN,979,France,Technical Group of the European Right,None,1989-1994,Front national ,07-1989,male
Djida TAZDAÏT,1119,France,The Green Group in the European Parliament,None,1989-1994,Les Verts-Europe-Ecologie ,07-1989,female
Wilfried TELKÄMPER,1229,Germany,The Green Group in the European Parliament,None,1989-1994,Bündnis 90/die Grünen ,07-1989,male
Anna TERRÓN i CUSÍ,1893,Spain,Group of the Party of European Socialists,None,1989-1994,Partido Socialista Obrero Español ,01-1994,female
Bernard THAREAU,976,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,male
Diemut R. THEATO,1188,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,female
Marianne THYSSEN,1832,Belgium,Group of the European People's Party (Christian,None,1989-1994,Christelijke Volkspartij ,12-1991,female
Leo C. TINDEMANS,956,Belgium,Group of the European People's Party (Christian,None,1989-1994,Christelijke Volkspartij ,07-1989,male
Gary TITLEY,1311,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
The Lord John E. TOMLINSON,1376,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Carole TONGUE,1361,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,female
Günter TOPMANN,1230,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
José Manuel TORRES COUTO,1199,Portugal,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista ,07-1989,male
Catherine TRAUTMANN,1129,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,female
Renzo TRIVELLI,1081,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,male
Konstantinos TSIMAS,1047,Greece,Socialist Group,Group of the Party of European Socialists,1989-1994,Panellinio Socialistiko Kinima ,07-1989,male
Amédée E. TURNER,1377,United Kingdom,European Democratic Group,None,1989-1994,Conservative and Unionist Party ,07-1989,male
Dick UKEIWÉ,1017,France,Group of the European Democratic Alliance,None,1989-1994,Rassemblement pour la République ,07-1989,male
Dacia VALENT,1066,Italy,Group for the European United Left,Non-attached Members,1989-1994,Partito comunista italiano ,07-1989,female
José VALVERDE LÓPEZ,1327,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,07-1989,male
Jaak H.-A. VANDEMEULEBROUCKE,1470,Belgium,Rainbow Group in the European Parliament,None,1989-1994,Volksunie ,07-1989,male
Marijke J.H. VAN HEMELDONCK,1430,Belgium,Socialist Group,Group of the Party of European Socialists,1989-1994,Socialistische Partij ,07-1989,female
Jean-Marie VANLERENBERGHE,1496,France,Group of the European People's Party (Christian,None,1989-1994,Centre des démocrates sociaux ,03-1993,female
Lode J.C. VAN OUTRIVE,1285,Belgium,Socialist Group,Group of the Party of European Socialists,1989-1994,Socialistische Partij ,07-1989,male
Marie-Claude VAYSSADE,1173,France,Socialist Group,None,1989-1994,Parti socialiste ,07-1989,female
José VÁZQUEZ FOUZ,1328,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,male
Luciano VECCHI,1092,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,male
Simone VEIL,1174,France,Liberal and Democratic Reformist Group,None,1989-1994,Union pour la démocratie française ,07-1989,female
Wim van VELZEN,1142,Netherlands,Socialist Group,Group of the Party of European Socialists,1989-1994,Partij van de Arbeid ,07-1989,male
Herman A. VERBEEK,1284,Netherlands,The Green Group in the European Parliament,None,1989-1994,Regenboog/Politieke Partij Radikalen ,07-1989,male
Josep VERDE I ALDEA,1319,Spain,Socialist Group,None,1989-1994,Partit dels Socialistes de Catalunya ,07-1989,male
Maxime J.M. VERHAGEN,1273,Netherlands,Group of the European People's Party (Christian,None,1989-1994,Christen Democratisch Appèl ,07-1989,male
Jacques VERNIER,1195,France,Group of the European Democratic Alliance,None,1989-1994,Rassemblement pour la République ,07-1989,male
Luigi VERTEMATI,995,Italy,Socialist Group,Group of the Party of European Socialists,1989-1994,Partito socialista italiano ,07-1989,male
Yves VERWAERDE,1160,France,Liberal and Democratic Reformist Group,None,1989-1994,Parti républicain ,07-1989,male
Bruno VISENTINI,1082,Italy,Liberal and Democratic Reformist Group,None,1989-1994,Partito repubblicano italiano ,07-1989,male
Ben VISSER,1448,Netherlands,Socialist Group,Group of the Party of European Socialists,1989-1994,Partij van de Arbeid ,07-1989,male
Kurt VITTINGHOFF,1231,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
Manfred VOHRER,1070,Germany,Liberal and Democratic Reformist Group,None,1989-1994,Freie Demokratische Partei ,07-1989,male
Dominique VOYNET,1839,France,The Green Group in the European Parliament,None,1989-1994,Les Verts-Europe-Ecologie ,11-1991,male
Thomas von der VRING,1232,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
Leen VAN DER WAAL,1449,Netherlands,Non-attached Members,None,1989-1994,Staatkundig Gereformeerde Partij ,07-1989,female
Antoine WAECHTER,1152,France,The Green Group in the European Parliament,None,1989-1994,Les Verts-Europe-Ecologie ,07-1989,male
Gerd WALTER,1233,Germany,Socialist Group,None,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
Beate WEBER,1189,Germany,Socialist Group,None,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,female
Rüdiger von WECHMAR,1071,Germany,Liberal and Democratic Reformist Group,None,1989-1994,Freie Demokratische Partei ,07-1989,male
Michael J. WELSH,1378,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,male
Norman WEST,1379,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Klaus H.W. WETTIG,1234,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
Ian WHITE,1303,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Florus A. WIJSENBEEK,1450,Netherlands,Liberal and Democratic Reformist Group,None,1989-1994,Volkspartij voor Vrijheid en Democratie ,07-1989,male
Anthony Joseph (Joe) WILSON,1218,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Karl von WOGAU,1224,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Eisso P. WOLTJER,1440,Netherlands,Socialist Group,Group of the Party of European Socialists,1989-1994,Partij van de Arbeid ,07-1989,male
Francis WURTZ,1018,France,Left Unity,None,1989-1994,Parti communiste français ,07-1989,male
Terence WYNN,1295,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Axel N. ZARGES,1225,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Georgios ZAVVOS,923,Greece,Group of the European People's Party (Christian,None,1989-1994,Nea Dimokratia ,04-1990,male
Adrien G.H. ZELLER,1153,France,Group of the European People's Party (Christian,None,1989-1994,Centre des démocrates sociaux ,07-1989,male
Concepció FERRER,1304,Spain,Group of the European People's Party (Christian,None,1989-1994,Convergència i Unió ,07-1989,female
Carles-Alfred GASÒLIBA i BÖHM,1344,Spain,Liberal and Democratic Reformist Group,None,1989-1994,Convergència i Unió ,07-1989,male
(Paddy) Patrick Joseph LALOR,1435,Ireland,Group of the European Democratic Alliance,None,1989-1994,Fianna Fáil Party ,07-1989,male
(Ben) George Benjamin PATTERSON,1397,United Kingdom,European Democratic Group,None,1989-1994,Conservative and Unionist Party ,07-1989,male
(Hans) Johannes Wilhelm PETERS,1252,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
René-Emile PIQUET,1157,France,Left Unity,None,1989-1994,Parti communiste français ,07-1989,male
