fullName,country,eu_group_1,id,nation_group,term,eu_group_2,start_period_1,gender
Johan NISSINEN,Sweden,European Conservatives and Reformists Group,238639,Sverigedemokraterna,2019-2024,None,07-2019,male
Maria NOICHL,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124836,Sozialdemokratische Partei Deutschlands,2019-2024,None,07-2019,female
Ljudmila NOVAK,Slovenia,Group of the European People's Party (Christian Democrats),28294,Nova Slovenija – Krščanski demokrati,2019-2024,None,07-2019,female
Andrey NOVAKOV,Bulgaria,Group of the European People's Party (Christian Democrats),107212,Citizens for European Development of Bulgaria,2019-2024,None,07-2019,male
Janina OCHOJSKA,Poland,Group of the European People's Party (Christian Democrats),197542,Independent,2019-2024,None,07-2019,female
Jan-Christoph OETJEN,Germany,Renew Europe Group,197432,Freie Demokratische Partei,2019-2024,None,07-2019,male
Carina OHLSSON,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,237779,Arbetarepartiet- Socialdemokraterna,2019-2024,None,07-2019,female
Jan OLBRYCHT,Poland,Group of the European People's Party (Christian Democrats),28288,Platforma Obywatelska,2019-2024,None,07-2019,male
Juozas OLEKAS,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197838,Lietuvos socialdemokratų partija,2019-2024,None,07-2019,male
Philippe OLIVIER,France,Identity and Democracy Group,197687,Rassemblement national,2019-2024,None,07-2019,male
Younous OMARJEE,France,The Left group in the European Parliament - GUE/NGL,30482,La France Insoumise,2019-2024,None,07-2019,male
Max ORVILLE,France,Renew Europe Group,234344,Mouvement Démocrate,2019-2024,None,07-2019,male
Grace O'SULLIVAN,Ireland,Group of the Greens/European Free Alliance,197889,Green Party,2019-2024,None,07-2019,female
Urmas PAET,Estonia,Renew Europe Group,129073,Eesti Reformierakond,2019-2024,None,07-2019,male
Maite PAGAZAURTUNDÚA,Spain,Renew Europe Group,125038,Delegación Ciudadanos Europeos,2019-2024,None,07-2019,female
Alessandro PANZA,Italy,Identity and Democracy Group,99283,Lega,2019-2024,None,07-2019,male
Demetris PAPADAKIS,Cyprus,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124692,Movement for Social Democracy EDEK,2019-2024,None,07-2019,male
Kostas PAPADAKIS,Greece,Non-attached Members,125093,Communist Party of Greece,2019-2024,None,07-2019,male
