fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender
Soraya POST,124997,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Feministiskt initiativ ,2014-2019,07-2014,female
Cristian Dan PREDA,96838,Romania,Group of the European People's Party (Christian Democrats) ,None,Partidul Mișcarea Populară ,2014-2019,07-2014,male
Marcus PRETZELL,124830,Germany,European Conservatives and Reformists Group ,Non-attached Members,Alternative für Deutschland ,2014-2019,07-2014,male
Gabriele PREUSS,124888,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Sozialdemokratische Partei Deutschlands ,2014-2019,07-2014,male
John PROCTER,185628,United Kingdom,European Conservatives and Reformists Group ,None,Conservative Party ,2014-2019,11-2016,male
Franck PROUST,108080,France,Group of the European People's Party (Christian Democrats) ,None,Union pour un Mouvement Populaire ,2014-2019,07-2014,male
Carolina PUNSET,90110,Spain,Group of the Alliance of Liberals and Democrats for Europe ,None,Ciudadanos – Partido de la Ciudadanía ,2014-2019,02-2016,female
Godelieve QUISTHOUDT-ROWOHL,1055,Germany,Group of the European People's Party (Christian Democrats) ,None,Christlich Demokratische Union Deutschlands ,2014-2019,07-2014,female
Emil RADEV,124850,Bulgaria,Group of the European People's Party (Christian Democrats) ,None,Citizens for European Development of Bulgaria ,2014-2019,07-2014,male
Jozo RADOŠ,112753,Croatia,Group of the Alliance of Liberals and Democrats for Europe ,None,Hrvatska narodna stranka - liberalni demokrati ,2014-2019,07-2014,male
Dennis RADTKE,188945,Germany,Group of the European People's Party (Christian Democrats) ,None,Christlich Demokratische Union Deutschlands ,2014-2019,07-2017,male
Paulo RANGEL,96903,Portugal,Group of the European People's Party (Christian Democrats) ,None,Partido Social Democrata ,2014-2019,07-2014,male
Miloslav RANSDORF,23706,Czechia,Confederal Group of the European United Left ,None,Komunistická strana Čech a Moravy ,2014-2019,07-2014,male
Laurenţiu REBEGA,124792,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,Europe of Nations and Freedom Group ,Partidul Conservator ,2014-2019,07-2014,male
Felix REDA,124816,Germany,Group of the Greens/European Free Alliance ,None,Piratenpartei Deutschland ,2014-2019,07-2014,male
Viviane REDING,1185,Luxembourg,Group of the European People's Party (Christian Democrats) ,None,Parti chrétien social luxembourgeois ,2014-2019,07-2014,female
Evelyn REGNER,96998,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Sozialdemokratische Partei Österreichs ,2014-2019,07-2014,female
Olli REHN,2119,Finland,Group of the Alliance of Liberals and Democrats for Europe ,None,Suomen Keskusta ,2014-2019,07-2014,male
Julia REID,106202,United Kingdom,Europe of Freedom and Direct Democracy Group ,Non-attached Members,United Kingdom Independence Party ,2014-2019,07-2014,female
Michel REIMON,124935,Austria,Group of the Greens/European Free Alliance ,None,Die Grünen - Die Grüne Alternative ,2014-2019,07-2014,male
Terry REINTKE,103381,Germany,Group of the Greens/European Free Alliance ,None,Bündnis 90/Die Grünen ,2014-2019,07-2014,male
Herbert REUL,28225,Germany,Group of the European People's Party (Christian Democrats) ,None,Christlich Demokratische Union Deutschlands ,2014-2019,07-2014,male
Christine REVAULT D'ALLONNES BONNEFOY,124287,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Parti socialiste ,2014-2019,07-2014,female
Sofia RIBEIRO,124733,Portugal,Group of the European People's Party (Christian Democrats) ,None,Partido Social Democrata ,2014-2019,07-2014,female
Frédérique RIES,4253,Belgium,Group of the Alliance of Liberals and Democrats for Europe ,None,Mouvement Réformateur ,2014-2019,07-2014,female
Dominique RIQUET,96885,France,Group of the Alliance of Liberals and Democrats for Europe ,None,Parti Radical - UDI ,2014-2019,07-2014,male
Michèle RIVASI,96743,France,Group of the Greens/European Free Alliance ,None,Europe Écologie ,2014-2019,07-2014,female
Robert ROCHEFORT,97022,France,Group of the Alliance of Liberals and Democrats for Europe ,None,Mouvement Démocrate ,2014-2019,07-2014,male
Liliana RODRIGUES,125099,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partido Socialista ,2014-2019,07-2014,female
Maria João RODRIGUES,124737,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partido Socialista ,2014-2019,07-2014,female
Inma RODRÍGUEZ-PIÑERO,125043,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partido Socialista Obrero Español ,2014-2019,07-2014,female
Teresa RODRIGUEZ-RUBIO,125033,Spain,Confederal Group of the European United Left ,None,PODEMOS ,2014-2019,07-2014,female
Ulrike RODUST,93624,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Sozialdemokratische Partei Deutschlands ,2014-2019,07-2014,female
Jens ROHDE,96710,Denmark,Group of the Alliance of Liberals and Democrats for Europe ,None,"Venstre, Danmarks Liberale Parti ",2014-2019,07-2014,male
Claude ROLIN,125107,Belgium,Group of the European People's Party (Christian Democrats) ,None,Centre Démocrate Humaniste ,2014-2019,07-2014,male
Bronis ROPĖ,125214,Lithuania,Group of the Greens/European Free Alliance ,None,Lietuvos valstiečių ir žaliųjų sąjunga ,2014-2019,07-2014,male
Dariusz ROSATI,28394,Poland,Group of the European People's Party (Christian Democrats) ,None,Platforma Obywatelska ,2014-2019,07-2014,male
Virginie ROZIÈRE,103845,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Parti radical de gauche ,2014-2019,07-2014,female
Fernando RUAS,124730,Portugal,Group of the European People's Party (Christian Democrats) ,None,Partido Social Democrata ,2014-2019,07-2014,male
Paul RÜBIG,2278,Austria,Group of the European People's Party (Christian Democrats) ,None,Österreichische Volkspartei ,2014-2019,07-2014,male
Pirkko RUOHONEN-LERNER,132366,Finland,European Conservatives and Reformists Group ,None,Perussuomalaiset ,2014-2019,04-2015,female
Kārlis ŠADURSKIS,111033,Latvia,Group of the European People's Party (Christian Democrats) ,None,"Partija ""VIENOTĪBA"" ",2014-2019,11-2018,male
Tokia SAÏFI,4345,France,Group of the European People's Party (Christian Democrats) ,None,Union pour un Mouvement Populaire ,2014-2019,07-2014,female
Sofia SAKORAFA,125091,Greece,Confederal Group of the European United Left ,None,Coalition of the Radical Left ,2014-2019,07-2014,female
José Ignacio SALAFRANCA SÁNCHEZ-NEYRA,2002,Spain,Group of the European People's Party (Christian Democrats) ,None,Partido Popular ,2014-2019,01-2017,male
Massimiliano SALINI,125670,Italy,Group of the European People's Party (Christian Democrats) ,None,Unione di Centro ,2014-2019,07-2014,male
Matteo SALVINI,28404,Italy,Non-attached Members,Europe of Nations and Freedom Group ,Lega Nord ,2014-2019,07-2014,male
Lola SÁNCHEZ CALDENTEY,125035,Spain,Confederal Group of the European United Left ,None,PODEMOS ,2014-2019,07-2014,female
Anne SANDER,24594,France,Group of the European People's Party (Christian Democrats) ,None,Union pour un Mouvement Populaire ,2014-2019,07-2014,female
Alfred SANT,124781,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partit Laburista ,2014-2019,07-2014,male
